symbol,date,period,has_trade,has_twosided_quote,usable,win_flag,pnl_bt
CRCA,2025-09-15,2025H2-2026-09,True,True,True,0,-604.4355199999923
STEX,2025-09-16,2025H2-2026-09,True,True,True,0,-915.9855575999997
CCUP,2025-09-18,2025H2-2026-09,True,True,True,1,-232.54216700000143
CRCG,2025-09-18,2025H2-2026-09,True,True,True,1,-249.20014999999657
SMU,2025-09-19,2025H2-2026-09,True,True,True,1,-655.1606399999899
NTSK,2025-09-19,2025H2-2026-09,True,True,True,1,1033.601359999997
IONZ,2025-09-22,2025H2-2026-09,True,True,True,0,-363.5748599999856
ANGX,2025-09-22,2025H2-2026-09,True,True,True,0,-1871.7180000000053
BKKT,2025-09-23,2025H2-2026-09,True,True,True,1,-835.0846399999907
CRCA,2025-09-24,2025H2-2026-09,True,True,True,0,-1568.0433999999962
CRCG,2025-09-24,2025H2-2026-09,True,True,True,0,-1688.621908800002
FOFO,2025-09-24,2025H2-2026-09,True,True,True,1,772.9492475600026
IONZ,2025-09-25,2025H2-2026-09,True,True,True,1,421.39123380001257
HYPD,2025-09-26,2025H2-2026-09,True,True,True,0,-1341.0720600000104
BKKT,2025-09-29,2025H2-2026-09,True,True,True,1,11438.950040000009
ZURA,2025-09-30,2025H2-2026-09,True,True,True,1,13020.799611260198
RZLV,2025-10-02,2025H2-2026-09,True,True,True,1,-88.52708760000021
CCUP,2025-10-02,2025H2-2026-09,True,True,True,1,8336.055471514808
CRCG,2025-10-02,2025H2-2026-09,True,True,True,1,8416.11826707
CRCA,2025-10-02,2025H2-2026-09,True,True,True,1,8388.850672100001
BTQ,2025-10-03,2025H2-2026-09,True,True,True,0,-218.01015280000013
DGNX,2025-10-03,2025H2-2026-09,True,True,True,0,-1397.6692799999814
GMEX,2025-10-08,2025H2-2026-09,False,False,False,0,-1826.2274199999915
DPRO,2025-10-13,2025H2-2026-09,True,True,True,1,3788.541665820007
QCLS,2025-10-15,2025H2-2026-09,True,True,True,0,-511.2959099999989
ARCX,2025-10-16,2025H2-2026-09,True,True,True,0,-1835.3617801082169
RGTZ,2025-10-16,2025H2-2026-09,True,True,True,1,8196.353351970005
OLOX,2025-10-16,2025H2-2026-09,False,False,False,0,-1879.7226299999963
BTQ,2025-10-16,2025H2-2026-09,True,True,True,1,1583.6695631999953
HIMZ,2025-10-20,2025H2-2026-09,True,True,True,0,-1612.4805199999944
IRE,2025-10-23,2025H2-2026-09,True,True,True,1,5013.669752000019
SOLT,2025-10-23,2025H2-2026-09,True,True,True,0,-1336.409400000001
NKLR,2025-10-24,2025H2-2026-09,True,True,True,0,-296.3241799999887
QUBX,2025-10-27,2025H2-2026-09,True,True,True,0,862.7622864100038
FRMM,2025-10-28,2025H2-2026-09,False,False,False,1,-523.717201500006
NEUP,2025-10-28,2025H2-2026-09,True,True,True,1,503.3255549400066
FRMI,2025-10-28,2025H2-2026-09,True,True,True,1,-1549.7196436225
QBTZ,2025-10-30,2025H2-2026-09,True,True,True,0,-2375.469719999991
RGTZ,2025-10-30,2025H2-2026-09,True,True,True,0,-2085.988960000001
FRMI,2025-11-03,2025H2-2026-09,True,True,True,0,-353.5472499999956
HIMZ,2025-11-05,2025H2-2026-09,True,True,True,0,-2254.4780633657106
SLNH,2025-11-05,2025H2-2026-09,True,True,True,1,877.9327735399995
VELO,2025-11-05,2025H2-2026-09,True,True,True,1,4149.851520000003
BW,2025-11-06,2025H2-2026-09,True,True,True,0,-1124.0754069771372
IONZ,2025-11-07,2025H2-2026-09,True,True,True,0,-2045.18201329714
CRWU,2025-11-12,2025H2-2026-09,True,True,True,0,-2071.388307
CRWG,2025-11-12,2025H2-2026-09,True,True,True,0,-473.4884199999948
CWVX,2025-11-12,2025H2-2026-09,True,True,True,0,-618.3311099999935
XRPT,2025-11-13,2025H2-2026-09,True,True,True,0,-1340.8548089999936
XXRP,2025-11-13,2025H2-2026-09,True,True,True,0,-1420.598700400005
SMCZ,2025-11-17,2025H2-2026-09,True,True,True,0,-371.3922600000016
DGNX,2025-11-17,2025H2-2026-09,True,True,True,1,4865.184354000009
SOLT,2025-11-18,2025H2-2026-09,True,True,True,0,-509.8614749999912
NKLR,2025-11-20,2025H2-2026-09,True,True,True,1,2257.13387857999
IRE,2025-11-20,2025H2-2026-09,True,True,True,0,-3296.785499999995
ASTX,2025-11-21,2025H2-2026-09,True,True,True,0,-3699.776980840715
OPEX,2025-11-21,2025H2-2026-09,True,True,True,1,-4159.385247104289
MRAL,2025-11-24,2025H2-2026-09,True,True,True,0,-2843.4595199999985
NBIL,2025-11-24,2025H2-2026-09,True,True,True,1,4641.428335000005
RGTZ,2025-11-25,2025H2-2026-09,True,True,True,0,719.7686826164937
BMNZ,2025-11-25,2025H2-2026-09,True,True,True,0,-2173.1960448000027
BMNG,2025-11-26,2025H2-2026-09,True,True,True,0,-1842.2503043999948
BMNU,2025-11-26,2025H2-2026-09,True,True,True,0,-2067.699779999989
CRWU,2025-11-26,2025H2-2026-09,True,True,True,0,-2429.1600000000017
MSTX,2025-11-28,2025H2-2026-09,True,True,True,0,-1411.978425000003
BMNG,2025-11-28,2025H2-2026-09,True,True,True,0,880.4197018000068
CCUP,2025-11-28,2025H2-2026-09,True,True,True,1,5878.535274159997
RIOX,2025-11-28,2025H2-2026-09,True,True,True,1,793.9925465859995
OLOX,2025-12-01,2025H2-2026-09,False,False,False,0,-2443.8696799999902
BMNU,2025-12-02,2025H2-2026-09,True,True,True,0,-1714.1966908000018
CCUP,2025-12-02,2025H2-2026-09,True,True,True,0,-1405.989
CRCA,2025-12-02,2025H2-2026-09,True,True,True,0,-1312.5337449999913
SMU,2025-12-02,2025H2-2026-09,True,True,True,1,-147.7057420000005
XXI,2025-12-03,2025H2-2026-09,False,False,False,0,-1569.6817351428538
RUBI,2025-12-03,2025H2-2026-09,True,True,True,0,-1420.88100257143
CMCT,2025-12-03,2025H2-2026-09,True,True,True,1,2009.2320987900064
XXI,2025-12-05,2025H2-2026-09,False,False,False,0,-1034.7158399999948
OKLS,2025-12-05,2025H2-2026-09,True,True,True,0,-538.3946400000007
LGHL,2025-12-05,2025H2-2026-09,True,True,True,0,-2231.9561999999937
CAPR,2025-12-05,2025H2-2026-09,True,True,True,0,-1619.9037485714343
WHLR,2025-12-12,2025H2-2026-09,True,True,True,0,-2717.193707999996
CCUP,2025-12-16,2025H2-2026-09,True,True,True,1,4009.4771280000064
CRCA,2025-12-16,2025H2-2026-09,True,True,True,1,4248.58804800001
BEX,2025-12-18,2025H2-2026-09,True,True,True,0,-720.4252499999935
BMNU,2025-12-19,2025H2-2026-09,True,True,True,1,2415.0109800000137
FJET,2025-12-24,2025H2-2026-09,True,True,True,0,-3083.538919999992
FLYE,2025-12-30,2025H2-2026-09,True,True,True,1,-639.4010999999899
AXTI,2025-12-30,2025H2-2026-09,True,True,True,0,-1054.7653600000058
DGNX,2026-01-05,2025H2-2026-09,True,True,True,0,-782.9691200000102
DFLI,2026-01-06,2025H2-2026-09,True,True,True,0,578.1887613599936
BEX,2026-01-07,2025H2-2026-09,True,True,True,0,-874.0956640000006
MLTX,2026-01-09,2025H2-2026-09,True,True,True,0,-638.6609368000057
NBIG,2026-01-15,2025H2-2026-09,True,True,True,0,-1318.7353296071417
SMU,2026-01-16,2025H2-2026-09,True,True,True,1,3256.3822023999987
BMNZ,2026-01-20,2025H2-2026-09,True,True,True,0,-362.7366189999996
IONZ,2026-01-20,2025H2-2026-09,True,True,True,0,-456.1317599999912
RGTZ,2026-01-20,2025H2-2026-09,True,True,True,0,-1888.6632372578576
RGTU,2026-01-22,2025H2-2026-09,True,True,True,0,-493.5735749999975
RGTX,2026-01-22,2025H2-2026-09,True,True,True,0,-1982.7634799999817
BNAI,2026-01-23,2025H2-2026-09,True,True,True,1,18820.30414752
