symbol,date,period,delay_s,status,fill_price,t_star,pnl_replay
SMCL,2025-05-16,2025H1,0,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,1,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,2,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,3,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,5,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,10,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,15,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,20,filled,17.69,22.97165328,62.08605232742204
SMCL,2025-05-16,2025H1,30,filled,17.59,22.97165328,62.09271899492204
SMCL,2025-05-16,2025H1,45,skipped_guard,,22.97165328,0.0
SMCL,2025-05-16,2025H1,60,skipped_guard,,22.97165328,0.0
SMCL,2025-05-16,2025H1,90,filled,17.58,22.97165328,62.09338566167204
SHLS,2025-05-16,2025H1,0,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,1,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,2,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,3,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,5,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,10,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,15,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,20,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,30,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,45,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,60,unfilled_no_tstar,,,0.0
SHLS,2025-05-16,2025H1,90,unfilled_no_tstar,,,0.0
ASST,2025-05-22,2025H1,0,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,1,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,2,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,3,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,5,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,10,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,15,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,20,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,30,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,45,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,60,filled,9.45,68.540680227,846.496247912017
ASST,2025-05-22,2025H1,90,skipped_guard,,68.540680227,0.0
CONI,2025-05-23,2025H1,0,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,1,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,2,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,3,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,5,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,10,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,15,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,20,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,30,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,45,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,60,unfilled_no_tstar,,,0.0
CONI,2025-05-23,2025H1,90,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,0,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,1,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,2,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,3,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,5,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,10,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,15,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,20,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,30,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,45,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,60,unfilled_no_tstar,,,0.0
BKKT,2025-05-27,2025H1,90,unfilled_no_tstar,,,0.0
EDBL,2025-05-28,2025H1,0,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,1,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,2,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,3,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,5,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,10,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,15,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,20,skipped_guard,,219.71028077,0.0
