cell,n,H1,H2,VAL,all,null_p95,tr_wk_H1,tr_wk_H2,tr_wk_VAL,clust_t,mde,era_pos,above_null,FINDING
13:00-14:01|<1.5%|>=$150M|stock,4606,-0.07230510124222052,0.09144172426569257,0.11800126416090394,0.04843494675672225,-0.04724380717700566,2.769230769230769,2.4074074074074074,2.4347826086956523,0.858064887046899,0.0478307217262353,False,True,False
13:00-14:01|1.5-3%|<$25M|wrapper,2000,-0.1915333009604634,-0.07844639920628999,-0.062388615210878226,-0.11284631337382686,-0.036491307553547854,2.6923076923076925,2.7777777777777777,2.0869565217391304,-1.8708490301419687,0.05771404382005276,False,False,False
13:00-14:01|1.5-3%|<$25M|stock,973,0.2017387345733888,-0.17888373849349762,-0.17545411944055497,-0.04472848563507634,-0.021760119610686756,0.6923076923076923,0.8148148148148148,0.4782608695652174,-0.6493089133379559,0.07217397274083928,False,False,False
13:00-14:01|1.5-3%|$25-150M|wrapper,4129,-0.12840990956030104,-0.07920395553140738,-0.03311567205592395,-0.08992242373699422,-0.04529901886248143,4.538461538461538,3.185185185185185,2.8260869565217392,-2.1024638722101736,0.04287911607175227,False,False,False
13:00-14:01|1.5-3%|$25-150M|stock,3992,0.005945304566220861,0.019400931078588465,0.009060579044377022,0.011773672321155651,-0.04646782755270165,3.6923076923076925,3.259259259259259,2.260869565217391,0.3357997317410076,0.03612562764036818,True,True,False
13:00-14:01|1.5-3%|>=$150M|wrapper,1769,-0.12354462718528501,-0.00453804199534347,0.14287795857515315,-0.04115878946213462,-0.032431033101364366,3.730769230769231,1.9259259259259258,1.8695652173913044,-0.6280695691675644,0.06554694026144398,False,False,False
13:00-14:01|1.5-3%|>=$150M|stock,5782,-0.043458492677622876,-0.10122708141656081,0.020046163396464534,-0.04187090790530849,-0.04861422541015327,3.6153846153846154,3.6296296296296298,3.6956521739130435,-1.1561458884597597,0.03004884246866379,False,True,False
13:00-14:01|>=3%|<$25M|wrapper,4859,-0.0023871075234717007,-0.017948284670253365,0.004580762837641748,-0.00716108691928049,-0.047301524435212204,2.5384615384615383,5.62962962962963,5.956521739130435,-0.31799370398675675,0.02239420177754219,False,True,False
13:00-14:01|>=3%|<$25M|stock,6687,-0.034017347715571127,-0.03271724744735866,-0.03780502600645815,-0.03441185994188833,-0.050389445621613,5.038461538461538,5.37037037037037,3.5652173913043477,-2.671127876337152,0.014210848798921654,False,True,False
13:00-14:01|>=3%|$25-150M|wrapper,5115,-0.06027666039835603,-0.021813187845994814,-0.012298679217995446,-0.02671544462862806,-0.048030406817787946,3.6153846153846154,5.62962962962963,6.043478260869565,-1.3423729560801356,0.021900365081074766,False,True,False
13:00-14:01|>=3%|$25-150M|stock,10816,-0.025480622245619457,-0.04457693176247904,0.016745072773714488,-0.01838414933185489,-0.05414677695750851,8.115384615384615,7.777777777777778,7.478260869565218,-1.609252955780617,0.010435539056843272,False,True,False
13:00-14:01|>=3%|>=$150M|wrapper,1276,-0.03688192289375854,0.09834967367843195,-0.010308442576620216,-0.003241221935860248,-0.02632209747110389,2.3846153846153846,1.8148148148148149,2.652173913043478,-0.10216605619371291,0.04423908317184465,False,True,False
13:00-14:01|>=3%|>=$150M|stock,6251,-0.018207314921629653,0.05256240508853529,0.04192955418343799,0.025721018781685503,-0.049036756463610755,5.076923076923077,4.37037037037037,4.782608695652174,1.6031737471519423,0.01405506773330501,False,True,False
