Universe: 610 stocks, Volume profiles: 896 stocks
2026-03-14 22:13:29,371 [WARNING] trading.trade_planner: JYD: fixed_risk shares 99999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:30,124 [WARNING] trading.trade_planner: NTRB: fixed_risk shares 15384 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,040 [WARNING] trading.trade_planner: SMX: fixed_risk shares 20000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,047 [WARNING] trading.trade_planner: SMX: fixed_risk shares 50000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,235 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 12919 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,370 [WARNING] trading.trade_planner: SPHL: fixed_risk shares 63291 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,370 [WARNING] trading.trade_planner: SPHL: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,375 [WARNING] trading.trade_planner: SPHL: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:31,930 [WARNING] trading.trade_planner: VNCE: fixed_risk shares 16666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:32,885 [WARNING] backtest: BBGI: Only 5 bars, need at least 6 for setup detection
2026-03-14 22:13:33,061 [WARNING] trading.trade_planner: COEP: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:33,061 [WARNING] trading.trade_planner: COEP: fixed_risk shares 10810 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:33,552 [WARNING] trading.trade_planner: ELAB: fixed_risk shares 24999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:33,818 [WARNING] backtest: KFFB: Only 2 bars, need at least 6 for setup detection
2026-03-14 22:13:35,833 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 14347 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:35,833 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 14760 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:36,009 [WARNING] trading.trade_planner: SVCO: fixed_risk shares 25000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:36,254 [WARNING] trading.trade_planner: TVRD: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:36,351 [WARNING] trading.trade_planner: VNCE: fixed_risk shares 38167 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:36,353 [WARNING] trading.trade_planner: VNCE: fixed_risk shares 57142 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:36,374 [WARNING] trading.trade_planner: VNCE: fixed_risk shares 69444 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:37,540 [WARNING] trading.trade_planner: DOMH: fixed_risk shares 49999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:38,109 [WARNING] trading.trade_planner: ELAB: fixed_risk shares 75187 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:39,318 [WARNING] trading.trade_planner: NCEW: fixed_risk shares 44150 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:40,302 [WARNING] trading.trade_planner: RNAZ: fixed_risk shares 20000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:41,130 [WARNING] trading.trade_planner: VATE: fixed_risk shares 15384 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:42,136 [WARNING] backtest: EXOZ: Only 4 bars, need at least 6 for setup detection
2026-03-14 22:13:42,560 [WARNING] trading.trade_planner: JFBR: fixed_risk shares 40000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:42,560 [WARNING] trading.trade_planner: JFBR: fixed_risk shares 50125 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:42,666 [WARNING] trading.trade_planner: JL: fixed_risk shares 49382 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,005 [WARNING] trading.trade_planner: MIND: fixed_risk shares 28653 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,005 [WARNING] trading.trade_planner: MIND: fixed_risk shares 36363 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,818 [WARNING] trading.trade_planner: OKUR: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,818 [WARNING] trading.trade_planner: OKUR: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,818 [WARNING] trading.trade_planner: OKUR: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,818 [WARNING] trading.trade_planner: OKUR: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,854 [WARNING] trading.trade_planner: OKUR: fixed_risk shares 57142 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:43,993 [WARNING] trading.trade_planner: PCLA: fixed_risk shares 16168 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:44,422 [WARNING] trading.trade_planner: RNAZ: fixed_risk shares 16666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:45,120 [WARNING] backtest: UTSI: Only 2 bars, need at least 6 for setup detection
2026-03-14 22:13:45,367 [WARNING] trading.trade_planner: WCT: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:46,774 [WARNING] backtest: MDBH: Only 4 bars, need at least 6 for setup detection
2026-03-14 22:13:47,080 [WARNING] trading.trade_planner: NEUP: fixed_risk shares 17137 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:47,210 [WARNING] backtest: NYC: Only 4 bars, need at least 6 for setup detection
2026-03-14 22:13:47,394 [WARNING] backtest: PDC: Only 2 bars, need at least 6 for setup detection
2026-03-14 22:13:48,053 [WARNING] backtest: UTSI: Only 1 bars, need at least 6 for setup detection
