pop,leg,day,symbol,clock_m,px,sp_mean,sp_med,n_q,err
raw,entry,2025-06-09,TWAV,598,3.94,0.08440000000000009,0.08000000000000007,50,
raw,entry,2025-06-11,BDMD,621,4.44,0.10199999999999995,0.08000000000000007,5,
raw,entry,2025-06-11,HERE,584,10.65,0.06352040816326496,0.05000000000000071,196,
raw,entry,2025-06-12,ORCX,579,22.59,0.23279279279279275,0.23000000000000043,111,
raw,entry,2025-06-13,ARAI,598,9.64,0.17067796610169456,0.1899999999999995,59,
raw,entry,2025-06-16,AGIG,592,11.33,0.11361702127659608,0.11000000000000121,47,
raw,entry,2025-06-16,ARQQ,596,28.94,0.1707526881720429,0.120000000000001,93,
raw,entry,2025-06-17,BGSF,602,5.33,0.08018181818181837,0.08999999999999986,55,
raw,entry,2025-06-17,IMDX,640,3.13,0.08972222222222216,0.1200000000000001,36,
raw,entry,2025-06-17,PCTTW,595,4.9,0.14333333333333362,0.15000000000000036,39,
raw,entry,2025-06-17,QNTM,589,25.12,0.43315789473684213,0.41000000000000014,19,
raw,entry,2025-06-17,WTF,623,5.73,0.05804347826086949,0.05999999999999961,46,
raw,entry,2025-06-18,LGHL,625,3.81,0.015699481865284942,0.010000000000000231,193,
raw,entry,2025-06-20,DFDV,633,25.95,0.47000000000000025,0.46000000000000085,31,
raw,entry,2025-06-23,DFSC,613,11.06,0.24777777777777685,0.21999999999999886,9,
raw,entry,2025-06-23,GEOS,580,14.56,0.3405952380952382,0.34499999999999975,84,
raw,entry,2025-06-23,LGL,593,8.34,0.35199999999999976,0.33000000000000007,50,
raw,entry,2025-06-23,MIND,583,8.29,0.19111111111111137,0.20000000000000107,36,
raw,entry,2025-06-24,EPSM,644,23.52,3.415,3.3049999999999997,20,
raw,entry,2025-06-24,GRRR,582,24.09,0.11438848920863273,0.09999999999999787,139,
raw,entry,2025-06-24,LZMH,635,14.48,0.5553333333333336,0.47000000000000064,15,
raw,entry,2025-06-24,,612,24.89,,,0,"2 validation errors for StockQuotesRequest
symbol_or_symbols.str
  Input should be a valid string [type=string"
raw,entry,2025-06-24,NSLR,594,8.68,0.07680000000000006,0.08999999999999986,25,
raw,entry,2025-06-25,AIFU,599,5.78,0.17249999999999943,0.16999999999999948,4,
raw,entry,2025-06-26,VVOS,598,3.82,0.021904761904761948,0.020000000000000018,126,
raw,entry,2025-06-30,ALOT,623,10.69,0.07999999999999918,0.07999999999999918,4,
raw,entry,2025-06-30,CVKD,579,12.94,0.4193333333333339,0.4400000000000013,15,
raw,entry,2025-06-30,LIMN,635,11.8,0.19500000000000028,0.19500000000000028,2,
raw,entry,2025-06-30,NEGG,607,13.73,0.1966666666666669,0.20500000000000007,6,
raw,entry,2025-07-01,CLRO,642,13.0,0.1671069182389938,0.16000000000000014,318,
raw,entry,2025-07-01,UCAR,578,4.48,,,0,
raw,entry,2025-07-03,AUUD,630,4.35,0.11125000000000025,0.10500000000000043,24,
raw,entry,2025-07-03,NCPL,588,5.73,0.1331578947368423,0.11000000000000032,19,
raw,entry,2025-07-07,COGT,604,10.08,0.019836065573770323,0.019999999999999574,610,
raw,entry,2025-07-07,PRPO,612,13.77,0.3000000000000007,0.3000000000000007,1,
raw,entry,2025-07-07,RIOX,588,14.42,0.05997219647822043,0.0600000000000005,1079,
raw,entry,2025-07-07,SCAG,584,4.18,0.4057142857142856,0.4399999999999995,7,
raw,entry,2025-07-08,SOFX,581,26.3,0.07983957219251372,0.08000000000000185,1309,
raw,entry,2025-07-08,SOUNW,608,6.13,0.0889285714285715,0.0900000000000003,28,
raw,entry,2025-07-09,EGG,597,7.19,0.11235294117647039,0.1299999999999999,17,
raw,entry,2025-07-10,AIRI,625,3.84,0.016496815286624306,0.010000000000000231,157,
raw,entry,2025-07-11,SCAG,619,7.41,0.0955000000000001,0.08000000000000007,20,
raw,entry,2025-07-11,SPAI,599,3.39,0.07999999999999985,0.07999999999999985,2,
raw,entry,2025-07-14,MB,610,13.74,,,0,
raw,entry,2025-07-14,MRAL,577,33.74,0.16733407079646084,0.14999999999999858,904,
raw,entry,2025-07-14,RIOX,584,20.91,0.067979797979798,0.07000000000000028,1089,
raw,entry,2025-07-14,TCRT,584,6.12,0.15679999999999958,0.16999999999999993,25,
raw,entry,2025-07-15,AMDG,578,19.81,0.022549896765313014,0.019999999999999574,2906,
raw,entry,2025-07-15,TLIH,589,4.61,0.08999999999999986,0.08999999999999986,2,
raw,entry,2025-07-17,BGLC,631,4.85,0.0600000000000005,0.0600000000000005,3,
raw,entry,2025-07-18,VIVO,611,8.15,0.02125000000000088,0.020000000000000462,16,
raw,entry,2025-07-18,VVPR,611,8.15,0.02125000000000088,0.020000000000000462,16,
raw,entry,2025-07-21,ARWR,604,15.67,0.06108433734939752,0.05000000000000071,166,
raw,entry,2025-07-21,STEM,578,16.07,0.10146131805157556,0.08999999999999986,349,
raw,entry,2025-07-21,TSSI,582,26.8,0.11520958083832329,0.10000000000000142,501,
raw,entry,2025-07-22,BGL,644,17.8,0.45981132075471687,0.46000000000000085,53,
raw,entry,2025-07-22,IVF,608,3.35,0.01158894645941284,0.010000000000000231,579,
raw,entry,2025-07-22,PAPL,600,3.23,0.2083333333333334,0.18000000000000016,6,
raw,entry,2025-07-22,QVCGA,639,3.68,0.040000000000000036,0.040000000000000036,4,
raw,entry,2025-07-23,BNR,616,7.04,0.16500000000000004,0.16500000000000004,4,
raw,entry,2025-07-23,RNAZ,629,12.35,0.15249999999999986,0.09500000000000064,12,
raw,entry,2025-07-25,LYEL,609,12.81,0.28105263157894683,0.3199999999999985,38,
raw,entry,2025-07-28,GEOS,577,15.58,0.11100000000000013,0.11499999999999932,30,
raw,entry,2025-07-28,XXII,641,3.59,0.02200000000000005,0.020000000000000018,95,
raw,entry,2025-07-29,SCNI,606,3.21,0.013169247787610618,0.010000000000000231,1808,
raw,entry,2025-07-30,AVX,599,3.92,0.13000000000000003,0.14000000000000012,3,
raw,entry,2025-07-30,MGRT,590,3.15,0.13966666666666655,0.16999999999999993,30,
