cell,symbol,si,S,signal_date,value,n_owners,a,b,entry_date,exit_date,gross,cost_bps,net,hold,split
I1,CC,851,94,2016-05-18,14565.000000000002,2.0,94,114,2016-05-18,2016-06-16,-0.1469093560447151,0.5766519,-0.14696702123205674,20,TRAIN
I1,CODI,1059,94,2016-05-18,12550.506000000001,2.0,94,114,2016-05-18,2016-06-16,0.02710952256057908,5.019642,0.02660755837752049,20,TRAIN
I1,PRAA,3483,94,2016-05-18,675750.0,2.0,94,114,2016-05-18,2016-06-16,-0.07698116257851517,0.79131335,-0.07706029391446656,20,TRAIN
I1,KEY,2404,95,2016-05-19,177900.0,2.0,95,115,2016-05-19,2016-06-17,-0.05595624464583471,0.44140285,-0.056000384930279146,20,TRAIN
I1,PODD,3464,96,2016-05-20,811500.0,2.0,96,116,2016-05-20,2016-06-20,0.03886561209109396,0.70178306,0.038795433784607036,20,TRAIN
I1,HPP,2086,97,2016-05-23,268600.0,3.0,97,117,2016-05-23,2016-06-21,0.046081916229764985,0.56792355,0.046025123873574714,20,TRAIN
I1,RRGB,3751,98,2016-05-24,95700.0,3.0,98,118,2016-05-24,2016-06-22,0.04906513546272917,0.77706105,0.048987429355907164,20,TRAIN
I1,ACTG,64,98,2016-05-24,40434.0,2.0,98,118,2016-05-24,2016-06-22,-0.1305183302397489,3.083681,-0.13082669836195404,20,TRAIN
I1,PSX,3534,98,2016-05-24,20044764.16,2.0,98,118,2016-05-24,2016-06-22,-0.0020212740953422514,0.42464828,-0.002063738923198999,20,TRAIN
I1,ESNT,1536,98,2016-05-24,305087.76,2.0,98,118,2016-05-24,2016-06-22,-0.027567716621216487,1.1577029,-0.02768348691484901,20,TRAIN
I1,ORLY,3256,99,2016-05-25,435200.0,2.0,99,119,2016-05-25,2016-06-23,0.002275169907250074,0.4346557,0.0022317043369071143,20,TRAIN
I1,BOOT,692,99,2016-05-25,60000.0,2.0,99,119,2016-05-25,2016-06-23,0.07061789443267785,2.7343411,0.07034446030755803,20,TRAIN
I1,KOP,2453,99,2016-05-25,101188.0,2.0,99,119,2016-05-25,2016-06-23,0.1727853534000232,2.1549015,0.17256986325511292,20,TRAIN
I1,CF,903,100,2016-05-26,4889.5,2.0,100,120,2016-05-26,2016-06-24,-0.12226281425184249,0.44231468,-0.12230704571858775,20,TRAIN
I1,UVE,4527,100,2016-05-26,74978.75,2.0,100,120,2016-05-26,2016-06-24,-0.061423266647550157,1.482095,-0.06157147614336933,20,TRAIN
I1,OPK,3237,102,2016-05-31,72243.0,2.0,102,122,2016-05-31,2016-06-28,-0.12888046395123398,0.57253474,-0.12893771742487603,20,TRAIN
I1,AAOI,10,104,2016-06-02,40680.0,2.0,104,124,2016-06-02,2016-06-30,0.009963712308499906,1.851172,0.00977859511022916,20,TRAIN
I1,PBF,3333,105,2016-06-03,1370000.0,2.0,105,125,2016-06-03,2016-07-01,-0.10299146669443571,0.5360575,-0.10304507244312544,20,TRAIN
I1,SBCF,3825,105,2016-06-03,98397.0,2.0,105,125,2016-06-03,2016-07-01,-0.029005617068644574,2.8908188,-0.029294698955520948,20,TRAIN
I1,P,3299,105,2016-06-03,116400.0,2.0,105,125,2016-06-03,2016-07-01,-0.06581186030832586,0.67281795,-0.06587914209974233,20,TRAIN
I1,LE,2529,106,2016-06-06,2257684.3200000003,6.0,106,126,2016-06-06,2016-07-05,-0.004268301407597375,1.557117,-0.004424013099656787,20,TRAIN
I1,ERII,1523,108,2016-06-08,69596.0,2.0,108,128,2016-06-08,2016-07-07,-0.22612593633374745,1.254289,-0.22625136524283407,20,TRAIN
I1,SIG,3942,109,2016-06-09,300150.0,2.0,109,129,2016-06-09,2016-07-08,-0.05987620204448163,0.43040302,-0.05991924234601598,20,TRAIN
I1,AAP,12,110,2016-06-10,1010494.0,2.0,110,130,2016-06-10,2016-07-11,0.07017005135980048,0.43256453,0.07012679490775531,20,TRAIN
I1,HRTG,2097,114,2016-06-16,52290.0,4.0,114,134,2016-06-16,2016-07-15,-0.021486093210458468,2.8447928,-0.021770572501171093,20,TRAIN
I1,HRB,2092,115,2016-06-17,46660.0,2.0,115,135,2016-06-17,2016-07-18,0.03016698271432583,0.46458763,0.03012052394962561,20,TRAIN
I1,BCO,543,116,2016-06-20,213087.0,2.0,116,136,2016-06-20,2016-07-19,0.04580153681295385,1.0824658,0.045693290237844186,20,TRAIN
I1,LION,2573,117,2016-06-21,99799.2,2.0,117,137,2016-06-21,2016-07-20,0.04976449907586811,5.56729,0.04920777009862376,20,TRAIN
I1,NMIH,3032,117,2016-06-21,54500.0,2.0,117,137,2016-06-21,2016-07-20,0.06595384448811381,3.003099,0.0656535346053817,20,TRAIN
I1,PVH,3551,117,2016-06-21,98640.0,2.0,117,137,2016-06-21,2016-07-20,-0.01270395934609947,0.4560151,-0.012749560857473585,20,TRAIN
I1,NTRA,3099,118,2016-06-22,2045453.3399999999,2.0,118,138,2016-06-22,2016-07-21,0.07512524531069897,1.8701886,0.07493822645359427,20,TRAIN
I1,KFY,2408,122,2016-06-28,22640.0,2.0,122,142,2016-06-28,2016-07-27,0.22621972909516552,0.717667,0.22614796239619972,20,TRAIN
I1,OPK,3237,123,2016-06-29,8064.000000000001,2.0,123,143,2016-06-29,2016-07-28,0.06344089394688357,0.59790933,0.0633811030121274,20,TRAIN
I1,ALG,190,123,2016-06-29,58840.0,2.0,123,143,2016-06-29,2016-07-28,0.05303284754488735,1.6491538,0.05286793215934771,20,TRAIN
