date,symbol,pnl_R
2025-12-11,FLNC,1.4592086021505362
2025-12-11,FLY,-1.1918034039020338
2025-12-11,NEBX,1.7811387441424538
2025-12-11,RGTZ,-1.041680458598061
2025-12-11,RKLB,-1.033911360518082
2025-12-11,SKYT,-0.8691783783783721
2025-12-11,NUGT,1.7971758198492378
2025-12-12,CELC,1.603534640522878
2025-12-15,CORD,1.8721308877654192
2025-12-15,SBIT,1.946328848823624
2025-12-16,AFRM,1.8362156267104588
2025-12-16,ASTX,-1.163194648829432
2025-12-16,QBTS,-1.065436489898992
2025-12-16,RDTL,-1.1501299925255717
2025-12-16,RGTI,-1.018910947966151
2025-12-16,SEZL,0.3438030990793908
2025-12-17,BMNZ,-1.0422723458417786
2025-12-17,QURE,-1.1236358351997522
2025-12-17,RGTZ,-1.150774324630074
2025-12-17,BITX,-1.0404744077370782
2025-12-17,ETHU,-1.0270626475279103
2025-12-18,APLD,-1.0713141455859592
2025-12-18,HTFL,-1.3750932806324083
2025-12-18,RGTZ,-1.061080190327497
2025-12-18,RKLX,-1.1252579591668213
2025-12-18,SBIT,1.955961909191716
2025-12-19,APLX,1.857654116351538
2025-12-19,ASTX,1.8780791710027356
2025-12-19,ASTS,1.916192351180576
2025-12-19,CIFU,-1.2101248547097525
2025-12-19,CRWV,1.9478357644198756
2025-12-19,FLY,-1.215726934422508
2025-12-19,IONX,-1.130774910029342
2025-12-19,KOD,1.2531183673469373
2025-12-19,NBIS,1.915028891697509
2025-12-19,OKLO,-1.091258620689655
2025-12-19,RKLX,1.8879873309232047
2025-12-19,GDXU,1.8013132077765583
2025-12-22,ASTX,-1.1236961839166035
2025-12-22,BBNX,1.6037430361090634
2025-12-22,FLY,0.7978884329225727
2025-12-22,HUT,1.9498762916379069
2025-12-22,IONQ,1.9690400855536463
2025-12-22,LBRX,-1.967359706643658
2025-12-22,RGTI,1.9695449064098505
2025-12-23,BKSY,-1.3712057142857172
2025-12-23,BMNZ,-1.0469664359042778
2025-12-23,HUT,1.86366225331433
2025-12-23,TERN,-1.1237359327475525
2025-12-23,BOIL,1.951011431805322
2025-12-26,BMNZ,1.9224197887993584
2025-12-26,RGTZ,1.868421164021164
2025-12-30,QBTX,-1.1094981306900822
2026-01-02,AAOI,-1.121691563467491
2026-01-02,APLD,1.9643405515130696
2026-01-02,ASTX,1.6664111873457692
2026-01-02,BE,-1.0789366347859468
2026-01-02,BKSY,0.6059039548022624
2026-01-02,FLNC,1.8864700510855716
2026-01-02,HOOZ,-1.391925510204084
2026-01-02,HUT,1.8995142857142848
2026-01-02,IREN,-1.0682362326099086
2026-01-02,MUU,-1.2433248297077573
2026-01-05,HUT,1.9171585385473695
2026-01-05,HYMC,1.8669815979922595
2026-01-05,IDR,0.3033784838350032
2026-01-05,NNE,1.8269558388577265
2026-01-05,OKLO,-1.1135754659161163
2026-01-05,QXO,1.9371357088448555
2026-01-05,RGTI,-1.0426517361961798
2026-01-05,RKLX,-1.1724415137314974
2026-01-05,TSAT,-1.8073500000000136
2026-01-05,DPST,1.8004785239724657
2026-01-06,ALB,1.811377495769883
2026-01-06,ALGM,1.0786959789057369
2026-01-06,BKSY,1.6377518040202073
2026-01-06,GH,-1.1809860302083983
2026-01-06,MRNA,1.927863232720644
