day,symbol,trig_m,level,o_t,preopen,rekeyed,k100_cls,k100_off,k100_fill,k100_pos,k100_small,k100_rr0,k100_pnl0,k100_pnl10,k100_pnl25,k100_fx0,k200_cls,k200_off,k200_fill,k200_pos,k200_small,k200_rr0,k200_pnl0,k200_pnl10,k200_pnl25,k200_fx0,k300_cls,k300_off,k300_fill,k300_pos,k300_small,k300_rr0,k300_pnl0,k300_pnl10,k300_pnl25,k300_fx0,k500_cls,k500_off,k500_fill,k500_pos,k500_small,k500_rr0,k500_pnl0,k500_pnl10,k500_pnl25,k500_fx0,rank5,nuniv5,rank10,nuniv10
2026-08-19,BEZ,591,11.825,11.705,0,0,clean,0,11.8605,17121.0,0,-0.2584,-434.8,-451.49,-476.47,-434.82,clean,0,11.8605,17121.0,0,-0.2584,-434.8,-451.49,-476.47,-434.82,clean,0,11.8605,17121.0,0,-0.2584,-434.8,-451.49,-476.47,-434.82,clean,0,11.8605,17121.0,0,-0.2584,-434.8,-451.49,-476.47,-434.82,26,146,13.0,144.0
2026-08-19,CABA,616,3.245000000000001,3.205,0,1,clean,1,3.2547,25000.0,0,-0.5097,-975.56,-999.57,-1035.51,-975.61,clean,1,3.2547,25000.0,0,-0.5097,-975.56,-999.57,-1035.51,-975.61,clean,1,3.2547,25000.0,0,-0.5097,-975.56,-999.57,-1035.51,-975.61,clean,1,3.2547,25000.0,0,-0.5097,-975.56,-999.57,-1035.51,-975.61,19,147,11.0,146.0
2026-08-19,CDTG,596,3.212,3.13,0,0,clean,0,3.2216,3147.9,0,0.4943,296.47,297.74,299.64,264.19,clean,0,3.2216,3147.9,0,0.4943,296.47,297.74,299.64,264.19,clean,0,3.2216,3147.9,0,0.4943,296.47,297.74,299.64,264.19,clean,0,3.2216,3147.9,0,0.4943,296.47,297.74,299.64,264.19,126,146,145.0,146.0
2026-08-19,CONL,617,4.4055,4.38,0,1,clean,1,4.4187,25000.0,0,0.4847,817.17,828.8,846.21,727.88,clean,1,4.4187,25000.0,0,0.4847,817.17,828.8,846.21,727.88,clean,1,4.4187,25000.0,0,0.4847,817.17,828.8,846.21,727.88,clean,1,4.4187,25000.0,0,0.4847,817.17,828.8,846.21,727.88,25,147,17.0,146.0
2026-08-19,CORD,591,3.124,3.0899,0,0,clean,0,3.1334,25000.0,0,-0.4205,-987.68,-1011.68,-1047.57,-987.77,clean,0,3.1334,25000.0,0,-0.4205,-987.68,-1011.68,-1047.57,-987.77,clean,0,3.1334,25000.0,0,-0.4205,-987.68,-1011.68,-1047.57,-987.77,clean,0,3.1334,25000.0,0,-0.4205,-987.68,-1011.68,-1047.57,-987.77,27,146,3.0,144.0
2026-08-19,KIDZ,604,5.170000000000001,4.935,0,0,clean,0,5.1855,16181.7,0,-1.0058,-2422.03,-2435.8,-2456.39,-2421.98,clean,0,5.1855,16181.7,0,-1.0058,-2422.03,-2435.8,-2456.39,-2421.98,clean,0,5.1855,16181.7,0,-1.0058,-2422.03,-2435.8,-2456.39,-2421.98,clean,0,5.1855,16181.7,0,-1.0058,-2422.03,-2435.8,-2456.39,-2421.98,98,146,133.0,146.0
2026-08-19,MSTX,617,8.811,8.775,0,0,clean,0,8.8374,25000.0,0,1.4096,2134.2,2107.08,2066.51,2134.24,clean,0,8.8374,25000.0,0,1.4096,2134.2,2107.08,2066.51,2134.24,clean,0,8.8374,25000.0,0,1.4096,2134.2,2107.08,2066.51,2134.24,clean,0,8.8374,25000.0,0,1.4096,2134.2,2107.08,2066.51,2134.24,20,147,18.0,146.0
2026-08-19,NCT,580,4.279000000000001,4.28,0,1,clean,1,4.2918,3649.65,0,-0.573,-244.05,-247.45,-252.55,-244.03,clean,1,4.2918,3649.65,0,-0.573,-244.05,-247.45,-252.55,-244.03,clean,1,4.2918,3649.65,0,-0.573,-244.05,-247.45,-252.55,-244.03,clean,1,4.2918,3649.65,0,-0.573,-244.05,-247.45,-252.55,-244.03,9,140,130.0,135.0
2026-08-19,PFSA,575,17.523,16.6437,0,0,clean,0,17.5756,25000.0,0,-1.008,-2806.27,-2828.46,-2861.65,-2806.26,clean,0,17.5756,25000.0,0,-1.008,-2806.27,-2828.46,-2861.65,-2806.26,clean,0,17.5756,25000.0,0,-1.008,-2806.27,-2828.46,-2861.65,-2806.26,clean,0,17.5756,25000.0,0,-1.008,-2806.27,-2828.46,-2861.65,-2806.26,1,135,,
2026-08-19,PYXS,594,3.377,3.35,0,0,clean,0,3.3871,7738.65,0,-0.0371,-37.0,-44.71,-56.23,-36.96,clean,0,3.3871,7738.65,0,-0.0371,-37.0,-44.71,-56.23,-36.96,clean,0,3.3871,7738.65,0,-0.0371,-37.0,-44.71,-56.23,-36.96,clean,0,3.3871,7738.65,0,-0.0371,-37.0,-44.71,-56.23,-36.96,13,146,13.0,146.0
2026-08-19,SOXS,607,47.245000000000005,47.09,0,1,clean,1,47.3867,25000.0,0,-0.1786,-272.26,-296.97,-333.94,-272.26,clean,1,47.3867,25000.0,0,-0.1786,-272.26,-296.97,-333.94,-272.26,clean,1,47.3867,25000.0,0,-0.1786,-272.26,-296.97,-333.94,-272.26,clean,1,47.3867,25000.0,0,-0.1786,-272.26,-296.97,-333.94,-272.26,8,146,10.0,146.0
2026-08-19,WETO,577,23.65,23.16,0,0,clean,0,23.7209,23478.73,0,-1.0068,-3039.22,-3038.81,-3038.2,-3039.3,clean,0,23.7209,23478.73,0,-1.0068,-3039.22,-3038.81,-3038.2,-3039.3,clean,0,23.7209,23478.73,0,-1.0068,-3039.22,-3038.81,-3038.2,-3039.3,clean,0,23.7209,23478.73,0,-1.0068,-3039.22,-3038.81,-3038.2,-3039.3,117,137,,
