day,symbol,entry_m,ctrl_entry_m,rr,why
2025-05-23,LEU,606,591,0.5690192082115498,eod
2025-05-23,TEM,698,683,2.0,target
2025-05-27,SBET,596,581,1.9999999999999987,target
2025-05-27,TEM,597,582,0.3571334921220004,eod
2025-05-27,OKLO,673,658,2.0,target
2025-05-28,DFDV,603,588,-1.0122951316993314,stop
2025-05-28,SBET,623,608,-1.0168109589041094,stop
2025-05-28,OKLO,673,658,-1.050579185520364,stop
2025-05-28,GLXY,820,805,2.0,target
2025-05-29,UVIX,606,591,2.0,target
2025-05-29,SQQQ,720,705,0.44503257914646266,eod
2025-05-29,TSDD,838,823,2.0,target
2025-05-30,MP,598,583,2.0,target
2025-05-30,LMND,628,613,-1.064747572815537,stop
2025-05-30,HIMS,629,614,2.0,target
2025-05-30,UVIX,755,740,2.0,target
2025-05-30,TSDD,776,761,-1.091752615113881,stop
2025-05-30,CNX,807,792,2.0000000000000036,target
2025-06-02,HIMZ,586,571,2.0,target
2025-06-02,LMND,649,634,2.0,target
2025-06-02,TSDD,668,653,-1.07848756906077,stop
2025-06-03,CRWV,598,583,2.0,target
2025-06-03,CONL,626,611,2.0,target
2025-06-03,SMCX,637,622,2.0,target
2025-06-03,INCY,647,632,2.0,target
2025-06-03,MSTX,654,639,-1.0960500000000022,stop
2025-06-03,MP,676,661,2.0,target
2025-06-03,SMCI,705,690,-1.0754895522388026,stop
2025-06-04,TSDD,593,578,2.0,target
2025-06-04,RDDT,615,600,1.5395363752977815,eod
2025-06-04,LEGN,618,603,2.0,target
2025-06-04,NBIS,674,659,2.0,target
2025-06-04,ASTS,771,756,2.0,target
2025-06-04,CHA,798,783,2.0000000000000067,target
2025-06-05,TSDD,588,573,-1.0417868852459018,stop
2025-06-05,TSLQ,588,573,-1.0418350515463888,stop
2025-06-05,KOLD,632,617,0.2627329781289919,eod
2025-06-05,MP,632,617,-1.0684054054054068,stop
2025-06-05,ROBN,655,640,2.0,target
2025-06-05,INOD,658,643,2.0,target
2025-06-05,ETOR,665,650,-1.0293755458515264,stop
2025-06-06,ROBN,814,799,2.0,target
2025-06-09,RDW,591,576,2.0,target
2025-06-09,ETOR,599,584,1.4369326761376302,eod
2025-06-09,CRWV,610,595,1.4315489823964411,eod
2025-06-09,SMCX,619,604,0.5813275905751207,eod
2025-06-09,TEMT,789,774,2.0,target
2025-06-10,LEGN,590,575,2.0,target
2025-06-10,SEDG,617,602,2.0,target
2025-06-10,MUU,729,714,-1.0766690856313461,stop
2025-06-10,INTC,791,776,2.0,target
2025-06-11,SBET,588,573,2.0,target
2025-06-11,RGTX,611,596,2.0,target
2025-06-11,IONL,618,603,2.0,target
2025-06-11,IONX,618,603,1.9999999999999982,target
2025-06-11,ROBN,662,647,2.0,target
2025-06-11,KOLD,706,691,2.0,target
2025-06-11,CRWL,751,736,0.07912633511348019,eod
2025-06-11,AVGX,788,773,2.0,target
2025-06-12,SMR,590,575,-0.40345964739746587,eod
2025-06-12,HIMS,592,577,-1.0386644518272437,stop
2025-06-12,AVGX,611,596,2.0,target
2025-06-13,PLTU,588,573,2.0,target
2025-06-13,SEDG,594,579,2.0,target
2025-06-13,CRCL,652,637,2.0,target
2025-06-13,RBRK,656,641,-0.3077413643362725,eod
2025-06-16,HIMZ,586,571,2.0,target
2025-06-16,CRDO,596,581,0.7609265279450533,eod
2025-06-16,HIMS,599,584,2.0,target
2025-06-16,IONX,616,601,-1.0679122298684016,stop
2025-06-16,NBIS,633,618,2.0,target
2025-06-16,FUTU,707,692,2.0,target
2025-06-17,RKLX,633,618,-1.0975174320210548,stop
2025-06-17,UVXY,828,813,2.0,target
2025-06-18,CRCL,611,596,2.0,target
2025-06-18,SYM,614,599,2.0,target
2025-06-18,CONL,687,672,2.0,target
2025-06-18,COIN,695,680,2.0,target
2025-06-18,ROBN,710,695,2.0,target
2025-06-18,SMCI,783,768,2.0,target
2025-06-20,CRWV,587,572,1.4405430611193137,eod
2025-06-20,TSDD,625,610,-1.0485957446808494,stop
2025-06-20,AAOI,674,659,2.0,target
2025-06-20,CRCL,761,746,-1.0374037854889593,stop
2025-06-23,TSLR,588,573,-1.0490465116279086,stop
2025-06-23,LMND,589,574,2.0,target
2025-06-23,OUST,590,575,2.0,target
2025-06-23,RKLB,590,575,2.0,target
2025-06-23,ANET,609,594,2.0,target
2025-06-23,DFDV,609,594,2.0,target
2025-06-23,KTOS,621,606,2.0,target
2025-06-23,IONX,668,653,-1.0540892857142863,stop
2025-06-23,UVIX,751,736,2.0,target
2025-06-23,UVXY,755,740,-1.055463414634149,stop
2025-06-24,CRCL,586,571,-1.0155014236001265,stop
2025-06-24,HNGE,649,634,2.0,target
2025-06-24,ETHU,776,761,2.0,target
2025-06-25,TSDD,588,573,2.0,target
2025-06-25,CHYM,590,575,1.999999999999998,target
2025-06-25,MNTN,602,587,2.0,target
2025-06-25,BP,699,684,0.2018237059867509,eod
2025-06-27,HIMS,594,579,2.0,target
2025-06-27,SATS,622,607,2.0,target
2025-06-27,MSTX,626,611,-1.0423016759776573,stop
2025-06-27,AEVA,729,714,2.0,target
2025-06-30,ARCX,588,573,0.5495529770984937,eod
2025-06-30,SOFX,592,577,2.0,target
2025-06-30,APPX,594,579,2.0,target
2025-06-30,CAVA,601,586,2.0,target
2025-06-30,APP,630,615,-1.0949171122994599,stop
2025-06-30,HOOD,695,680,2.0,target
2025-06-30,CRSP,698,683,2.0,target
2025-07-01,PGY,593,578,2.0,target
2025-07-01,NAIL,608,593,2.0,target
2025-07-01,SMST,646,631,2.0,target
2025-07-01,NXT,681,666,2.0,target
2025-07-01,SEDG,699,684,2.0,target
2025-07-01,ENPH,706,691,2.0,target
2025-07-01,LABU,707,692,2.0,target
2025-07-02,HOOG,587,572,2.0,target
2025-07-02,RKLX,629,614,2.0,target
2025-07-02,ONON,630,615,-1.0395698529411748,stop
