day,symbol,entry_m,rr_booked,rr_walk
2026-01-08,IREN,630,-1.0491571506253412,-1.0491571506253412
2026-01-08,IONL,688,-1.0721798561151077,-1.0721798561151077
2026-01-08,IONX,692,-1.04591525423729,-1.04591525423729
2026-01-08,AXTI,706,0.0465116279069757,0.046511627906975786
2026-01-09,AXTI,577,-0.8346456692913379,-0.8346456692913379
2026-01-09,COHR,577,-0.1926823754830508,-0.19268237548305087
2026-01-09,MIR,577,-0.4599999999999973,-0.4599999999999973
2026-01-09,OUST,579,-1.024725085910654,-1.024725085910654
2026-01-09,GLSI,597,2.0,2.0
2026-01-09,MULL,670,0.9211900684931504,0.9211900684931503
2026-01-12,ALAB,577,0.5018270401948843,0.5018270401948843
2026-01-12,AVGX,577,0.3484000000000037,0.3484000000000037
2026-01-12,AVL,577,0.3422818791946319,0.3422818791946319
2026-01-12,BEX,577,0.4709302325581411,0.47093023255814115
2026-01-13,CNXC,577,-1.0154163393558533,-1.0154163393558533
2026-01-13,RDTL,578,1.1,1.1
2026-01-13,CIFU,586,-1.0201728395061724,-1.0201728395061724
2026-01-13,MRNA,587,2.0,2.0
2026-01-13,INTW,607,-1.0341412389019324,-1.0341412389019324
2026-01-13,THH,615,2.0,2.0
2026-01-13,CSIQ,632,-0.3664122137404604,-0.3664122137404604
2026-01-13,BE,755,-1.0562455445544567,-1.0562455445544567
2026-01-14,PKE,581,-1.0267752808988766,-1.0267752808988766
2026-01-14,ISSC,583,2.0,2.0
2026-01-14,BIOA,585,1.0162162162162167,1.0162162162162167
2026-01-14,AEVA,590,-1.0250626566416037,-1.0250626566416035
2026-01-14,MRNA,617,-1.045427269696635,-1.0454272696966347
2026-01-14,OILU,688,-1.0949310344827543,-1.0949310344827545
2026-01-14,MP,695,2.0,2.0
2026-01-14,AVAV,789,0.2143913257762403,0.21439132577624034
2026-01-15,BEX,581,-1.019460869565216,-1.0194608695652159
2026-01-15,CWVX,581,-0.9671052631578964,-0.9671052631578965
2026-01-15,HYMC,582,-1.0195405563006594,-1.0195405563006594
2026-01-15,ASTX,596,2.0,2.0
2026-01-15,UUUU,658,-1.08369230769231,-1.08369230769231
2026-01-15,CRWV,664,-1.086192982456137,-1.086192982456137
2026-01-15,PLAB,778,-1.0540079365079358,-1.0540079365079358
2026-01-16,FLY,577,0.0629722921914356,0.06297229219143567
2026-01-16,GSAT,577,-1.0234045286065545,-1.0234045286065543
2026-01-16,ASTX,583,0.3867924528301883,0.38679245283018837
2026-01-16,NVTX,584,2.0,2.0
2026-01-16,CWVX,685,0.5779816513761473,0.5779816513761473
2026-01-20,BE,577,-1.0254428822495596,-1.0254428822495596
