symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,R
EVCM,2025-11-07,09:37:00,8.96,8.66,9.43,3369,10:59:00,9.24,trail_stop,930.16,3.08,False,,0,0.0,23.76,168489,4.26,-26.66,False,-0.2,2,15.93,5.63,3.0,1.0,0.0,0.3,0.3,0.0,0.2,3.0,1.028,0.2,0.0,24.18,0.12,1.028,,0.46508
NEPH,2025-11-10,09:55:00,4.39,4.22,4.64,2352,10:32:00,4.46,trail_stop,152.5,1.48,False,,0,0.0,24.86,65385,1.94,0.0,False,0.07,3,17.9,3.6,1.8,1.8,0.0,0.3,0.0,0.3,0.2,1.8,1.26,0.0,0.0,25.68,0.273,1.26,,0.07625
LGHL,2025-11-26,10:34:00,6.03,5.89,6.3,4996,11:01:00,6.16,trail_stop,656.28,2.18,False,,0,0.0,40.0,138817,6.03,1215.18,False,0.07,2,5.08,6.38,2.1,1.8,0.3,0.0,0.3,0.3,0.0,2.1,1.717,0.2,0.0,1284.45,1.234,1.717,,0.32814
ARMU,2026-01-21,09:46:00,15.37,15.04,15.98,818,10:36:00,15.57,trail_stop,168.83,1.34,False,,0,0.0,12.44,20451,1.69,5.61,False,0.09,3,7.51,2.21,2.1,2.0,0.3,0.3,0.3,0.0,0.2,2.1,0.807,0.0,0.0,15.23,0.151,0.807,,0.084415
EEIQ,2026-02-17,10:32:00,3.67,3.5,4.03,3599,10:33:00,3.49,stop,-628.97,-4.76,False,,0,0.0,26.67,179967,6.33,1550.92,False,0.07,2,12.48,6.76,1.8,1.0,0.0,0.0,0.3,0.3,0.0,1.8,1.55,0.2,0.0,1928.85,0.307,1.55,,-0.314485
PLYX,2026-02-17,08:47:00,3.87,3.78,4.04,3393,08:49:00,4.15,trail_stop,944.17,7.19,False,,0,0.0,63.43,169686,3.83,54.77,False,0.07,2,5.46,3.83,2.1,1.0,0.3,0.0,0.3,0.3,0.0,2.1,1.55,0.2,0.0,59.34,4.847,1.55,,0.472085
MG,2026-03-05,09:56:00,14.94,14.28,16.43,2695,14:57:00,14.9,eod,-119.52,-0.3,False,,0,0.0,21.66,134778,5.29,0.26,False,0.06,3,6.26,5.7,2.0,1.0,0.3,-0.3,0.3,0.3,0.2,2.0,1.532,0.2,0.0,21.66,1.782,1.532,,-0.05976
VRCA,2026-03-11,09:47:00,6.12,5.85,6.73,4923,15:46:00,6.15,force_close,145.47,0.48,False,,0,0.0,28.88,136751,8.65,-15.55,False,0.09,2,7.92,7.9,3.0,1.8,0.3,-0.3,0.3,0.3,0.2,3.0,1.623,0.2,0.0,22.77,3.293,1.623,,0.072735
VATE,2026-03-30,09:46:00,5.31,5.16,5.6,646,12:25:00,5.42,trail_stop,70.16,2.05,False,,0,0.0,15.77,16195,3.38,5.01,False,,2,7.06,3.87,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,1.36,0.2,0.0,15.47,0.219,1.36,,0.03508
KMRK,2026-04-20,10:31:00,3.51,3.39,3.72,2889,13:59:00,4.26,exhaust+trail_stop,1769.32,17.46,False,,0,0.0,42.26,80258,2.46,-3.8,False,,2,9.91,3.36,2.5,1.8,0.0,0.3,0.0,0.0,0.0,2.5,0.808,0.2,0.0,22.58,1.22,0.808,,0.88466
MED,2026-05-05,09:45:00,12.18,11.89,12.76,6865,10:46:00,12.94,exhaust+trail_stop,5182.65,6.2,False,,0,0.0,35.37,190724,3.88,-5.93,False,,3,6.37,3.9,3.0,1.8,0.3,0.0,0.3,0.0,0.2,3.0,0.974,0.2,0.0,22.57,1.354,0.974,,2.591325
BVC,2026-06-09,10:39:00,10.04,9.64,10.78,397,10:43:00,10.34,trail_stop,119.19,2.99,False,,0,0.0,48.42,11085,11.26,-8.55,False,,2,6.01,11.11,3.0,1.8,0.3,-0.3,0.3,0.3,0.2,3.0,1.41,0.2,0.0,23.69,7.774,1.41,,0.059595
WXM,2026-07-06,09:50:00,5.18,5.04,5.45,3057,09:53:00,5.53,exhaust+trail_stop,1187.4,7.5,False,,0,0.0,88.74,152858,2.09,15.15,False,,3,7.1,2.43,2.3,1.0,0.3,0.3,0.3,0.0,0.2,2.3,1.146,0.2,0.0,20.68,3.901,1.146,,0.5937
XPON,2026-07-21,10:43:00,3.31,3.2,3.5,2241,12:04:00,3.42,trail_stop,253.29,3.41,False,,0,0.0,35.38,112052,7.05,882.27,False,,2,6.45,7.19,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.915,0.2,0.0,1066.67,9.892,0.915,,0.126645
OPAD,2026-08-04,09:42:00,4.01,3.84,4.28,2028,10:21:00,4.14,trail_stop,255.54,3.14,False,,0,0.0,42.41,50731,2.09,-4.38,False,,3,13.18,3.42,2.3,2.0,0.0,0.3,0.3,0.3,0.2,2.3,1.299,0.2,0.0,18.67,1.311,1.299,,0.12777
OESX,2026-08-06,09:58:00,19.81,19.05,20.94,2493,10:03:00,18.99,stop,-2047.56,-4.15,False,,0,0.0,23.25,69285,9.39,3.24,False,,3,6.24,10.98,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,1.318,0.2,0.0,24.1,1.099,1.318,,-1.02378
