symbol,bar_date,ratio
NXTC,2019-11-11,0.47903086951174517
OPGN,2019-08-29,21.487320082248115
OPGN,2019-10-24,0.4810495626822157
PETZ,2019-07-29,1.867921753199
PETZ,2019-10-15,1.930434782608696
PIXY,2019-12-16,33.36363636363636
POAI,2019-10-29,9.552941176470588
PSTV,2019-08-06,45.54838709677419
PSTV,2019-08-16,3.252577319587629
PSTV,2019-09-23,0.51
PVBC,2019-10-17,0.5035128805620609
QUIK,2019-12-24,12.496152662357646
RKDA,2019-08-09,2.1785714285714284
RKDA,2019-08-12,1.8135245901639343
RLMD,2019-10-15,2.3822222222222225
SAGE,2019-12-05,0.40747939146169826
SINT,2019-07-29,28.990825688073397
SLDB,2019-11-12,0.26
SLS,2019-11-08,41.24374553252323
SONM,2019-09-10,0.5325779036827195
SPSC,2019-08-23,0.48291305617758745
SVRA,2019-10-02,0.4395161290322581
SVRA,2019-12-30,3.236994219653179
TNXP,2019-11-01,12.34375
TTNP,2019-10-16,0.5208450704225353
TWOU,2019-07-31,0.4730029585798816
VTGN,2019-11-14,0.2909090909090909
WORX,2019-08-20,2.0045871559633026
WVE,2019-12-16,0.4502659574468085
WVE,2019-12-30,0.5082174462705435
XELA,2019-08-09,0.5306122448979592
ABIO,2020-05-28,3.8784810126582276
ACB,2020-05-11,10.838235294117647
ACST,2020-01-13,0.3298245614035088
ALT,2020-02-28,1.9942857142857144
APA,2020-03-09,0.5096618357487923
APDN,2020-03-18,2.57741935483871
APVO,2020-03-27,14.546783625730994
AQST,2020-03-12,0.5413105413105413
ASTC,2020-03-25,3.279279279279279
ATEC,2020-03-18,0.3948717948717949
ATLC,2020-03-18,0.4169230769230769
ATRA,2020-03-18,0.5164744645799011
ATRO,2020-03-18,0.39960532807104093
ATTO,2020-03-18,0.4041095890410959
AUBN,2020-03-18,0.4304932735426009
AVGR,2020-03-18,0.535
AXNX,2020-03-18,0.4638171815488786
AXSM,2020-03-18,0.5282051282051282
AXTI,2020-03-18,0.543103448275862
AYRO,2020-07-06,1.8024316109422491
AYTU,2020-03-18,3.1509433962264146
BKYI,2020-03-11,2.2448979591836737
BKYI,2020-03-18,1.8740629685157422
BKYI,2020-03-27,1.808219178082192
BLIN,2020-05-14,2.18018018018018
BLNK,2020-06-29,2.0202702702702706
BMRA,2020-03-18,5.773504273504273
BMRA,2020-03-20,0.4631578947368421
BNTC,2020-04-20,2.1758620689655173
BYFC,2020-06-17,1.8812499999999999
CAPR,2020-04-29,3.31578947368421
CARV,2020-06-17,2.2753623188405796
CETX,2020-01-15,1.9693251533742333
CETX,2020-06-01,2.29
CHEF,2020-03-18,0.4681404421326398
CHK,2020-04-15,115.57971014492752
CHK,2020-06-09,0.501207729468599
