cell,split,obs,mu,p5,p95,outside
T SPY 1000 p40 [B2],TRAIN,32.075471698113205,34.22264150943396,28.30188679245283,41.509433962264154,inside
T SPY 1000 p40 [B2],VAL,60.86956521739131,57.969565217391306,47.82608695652174,69.56521739130434,inside
T SPY 1000 p60 [B2],TRAIN,32.075471698113205,34.66037735849057,28.30188679245283,41.509433962264154,inside
T SPY 1000 p60 [B2],VAL,56.52173913043478,58.11739130434783,47.82608695652174,69.56521739130434,inside
"  (pre-gate arm, entry_m<601) [B2]",TRAIN,32.075471698113205,34.044339622641516,26.41509433962264,41.509433962264154,inside
"  (pre-gate arm, entry_m<601) [B2]",VAL,56.52173913043478,57.65217391304347,47.82608695652174,69.56521739130434,inside
T SPY 1015 sgn [B2],TRAIN,28.30188679245283,32.65094339622642,26.41509433962264,39.62264150943396,inside
T SPY 1015 sgn [B2],VAL,47.82608695652174,53.43043478260869,43.47826086956522,65.21739130434783,inside
T SPY 1015 p20 [B2],TRAIN,28.30188679245283,31.25754716981132,24.528301886792452,37.735849056603776,inside
T SPY 1015 p20 [B2],VAL,52.17391304347826,57.75,47.82608695652174,69.56521739130434,inside
T SPY 1015 p40 [B2],TRAIN,32.075471698113205,30.799056603773586,24.528301886792452,37.735849056603776,inside
T SPY 1015 p40 [B2],VAL,39.130434782608695,55.59782608695652,47.82608695652174,65.21739130434783,below
T SPY 1015 p60 [B2],TRAIN,32.075471698113205,33.19622641509434,26.41509433962264,39.62264150943396,inside
T SPY 1015 p60 [B2],VAL,39.130434782608695,56.321739130434786,47.82608695652174,65.21739130434783,below
"  (pre-gate arm, entry_m<616) [B2]",TRAIN,30.18867924528302,33.48396226415095,26.41509433962264,39.62264150943396,inside
"  (pre-gate arm, entry_m<616) [B2]",VAL,39.130434782608695,56.321739130434786,47.82608695652174,65.21739130434783,below
T SPY 1030 sgn [B2],TRAIN,32.075471698113205,30.565094339622643,24.528301886792452,37.735849056603776,inside
T SPY 1030 sgn [B2],VAL,47.82608695652174,51.047826086956526,39.130434782608695,60.86956521739131,inside
T SPY 1030 p20 [B2],TRAIN,24.528301886792452,26.006603773584903,18.867924528301888,32.075471698113205,inside
T SPY 1030 p20 [B2],VAL,52.17391304347826,54.15434782608696,43.47826086956522,65.21739130434783,inside
T SPY 1030 p40 [B2],TRAIN,26.41509433962264,25.016981132075475,18.867924528301888,32.075471698113205,inside
T SPY 1030 p40 [B2],VAL,43.47826086956522,52.33478260869565,43.47826086956522,60.86956521739131,inside
T SPY 1030 p60 [B2],TRAIN,26.41509433962264,27.32547169811321,20.754716981132077,33.9622641509434,inside
T SPY 1030 p60 [B2],VAL,43.47826086956522,52.254347826086956,43.47826086956522,60.86956521739131,inside
"  (pre-gate arm, entry_m<631) [B2]",TRAIN,24.528301886792452,26.443396226415096,18.867924528301888,33.9622641509434,inside
"  (pre-gate arm, entry_m<631) [B2]",VAL,39.130434782608695,52.22391304347826,43.47826086956522,60.86956521739131,below
T QQQ 0935 sgn [B2],TRAIN,32.075471698113205,27.766981132075472,20.754716981132077,33.9622641509434,inside
T QQQ 0935 sgn [B2],VAL,52.17391304347826,50.09130434782608,39.130434782608695,60.86956521739131,inside
T QQQ 0935 p20 [B2],TRAIN,15.09433962264151,17.004716981132077,11.320754716981133,22.641509433962266,inside
T QQQ 0935 p20 [B2],VAL,47.82608695652174,38.2,30.434782608695656,47.82608695652174,inside
T QQQ 0935 p40 [B2],TRAIN,5.660377358490567,5.398113207547168,3.7735849056603774,7.547169811320755,inside
T QQQ 0935 p40 [B2],VAL,13.043478260869565,10.984782608695651,8.695652173913043,13.043478260869565,inside
T QQQ 0935 p60 [B2],TRAIN,1.8867924528301887,3.2009433962264153,1.8867924528301887,3.7735849056603774,inside
T QQQ 0935 p60 [B2],VAL,4.3478260869565215,4.347826086956522,4.3478260869565215,4.3478260869565215,inside
T QQQ 0940 sgn [B2],TRAIN,37.735849056603776,31.443396226415093,24.528301886792452,37.735849056603776,inside
T QQQ 0940 sgn [B2],VAL,52.17391304347826,49.232608695652175,39.130434782608695,60.86956521739131,inside
T QQQ 0940 p20 [B2],TRAIN,39.62264150943396,35.66509433962264,28.30188679245283,43.39622641509434,inside
T QQQ 0940 p20 [B2],VAL,65.21739130434783,53.83260869565217,43.47826086956522,65.21739130434783,inside
T QQQ 0940 p40 [B2],TRAIN,39.62264150943396,39.300943396226415,32.075471698113205,47.16981132075472,inside
T QQQ 0940 p40 [B2],VAL,52.17391304347826,48.767391304347825,39.130434782608695,60.86956521739131,inside
T QQQ 0940 p60 [B2],TRAIN,41.509433962264154,41.02452830188679,33.9622641509434,47.16981132075472,inside
T QQQ 0940 p60 [B2],VAL,52.17391304347826,53.79347826086957,43.47826086956522,65.21739130434783,inside
T QQQ 0945 sgn [B2],TRAIN,32.075471698113205,32.34811320754717,26.41509433962264,39.62264150943396,inside
T QQQ 0945 sgn [B2],VAL,56.52173913043478,55.658695652173904,43.47826086956522,65.21739130434783,inside
T QQQ 0945 p20 [B2],TRAIN,41.509433962264154,34.031132075471696,28.30188679245283,41.509433962264154,inside
T QQQ 0945 p20 [B2],VAL,56.52173913043478,57.178260869565214,47.82608695652174,65.21739130434783,inside
T QQQ 0945 p40 [B2],TRAIN,39.62264150943396,37.43490566037736,30.18867924528302,45.28301886792453,inside
T QQQ 0945 p40 [B2],VAL,65.21739130434783,56.03043478260869,47.82608695652174,65.21739130434783,inside
T QQQ 0945 p60 [B2],TRAIN,37.735849056603776,39.18867924528301,32.075471698113205,45.28301886792453,inside
T QQQ 0945 p60 [B2],VAL,65.21739130434783,56.428260869565214,47.82608695652174,65.21739130434783,inside
T QQQ 0950 sgn [B2],TRAIN,30.18867924528302,35.80471698113208,28.30188679245283,43.39622641509434,inside
T QQQ 0950 sgn [B2],VAL,56.52173913043478,53.05,43.47826086956522,60.86956521739131,inside
T QQQ 0950 p20 [B2],TRAIN,33.9622641509434,35.630188679245286,28.30188679245283,43.39622641509434,inside
T QQQ 0950 p20 [B2],VAL,60.86956521739131,56.373913043478254,47.82608695652174,65.21739130434783,inside
T QQQ 0950 p40 [B2],TRAIN,30.18867924528302,35.13867924528302,28.30188679245283,41.509433962264154,inside
T QQQ 0950 p40 [B2],VAL,52.17391304347826,53.18260869565218,43.47826086956522,60.86956521739131,inside
T QQQ 0950 p60 [B2],TRAIN,32.075471698113205,36.96226415094339,30.18867924528302,43.39622641509434,inside
T QQQ 0950 p60 [B2],VAL,52.17391304347826,54.27608695652174,43.47826086956522,65.21739130434783,inside
T QQQ 1000 sgn [B2],TRAIN,30.18867924528302,35.63867924528302,28.30188679245283,41.509433962264154,inside
T QQQ 1000 sgn [B2],VAL,60.86956521739131,57.91304347826087,47.82608695652174,69.56521739130434,inside
T QQQ 1000 p20 [B2],TRAIN,20.754716981132077,30.88301886792453,24.528301886792452,37.735849056603776,below
T QQQ 1000 p20 [B2],VAL,56.52173913043478,55.13478260869565,43.47826086956522,65.21739130434783,inside
T QQQ 1000 p40 [B2],TRAIN,20.754716981132077,30.970754716981133,24.528301886792452,37.735849056603776,below
