day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2026-05-20,BE,598,597,707,290.5,target,VAL,,2026-05-18,273.5,265.0,8.5,273.5,0.4195652173912995,1.9373687979539647,0.06263120204603524,1.7827305882352942,2026-05-20,1.9373687979539647
2026-05-20,CCL,617,616,680,25.474999999999998,target,VAL,,2026-05-18,24.325,23.75,0.5749999999999993,24.325,0.010264598540146,1.964826785147572,0.03517321485242787,1.7910395652173912,2026-05-20,1.964826785147572
2026-05-20,CRDO,572,571,604,181.63,target,VAL,,2026-05-18,174.75,171.31,3.4399999999999977,174.75,0.3842898550724623,1.8675680653859121,0.13243193461408798,1.6399401162790697,2026-05-20,1.8675680653859121
2026-05-20,DAL,578,577,630,70.92065000000001,target,VAL,,2026-05-18,68.855,67.822175,1.0328250000000025,68.855,0.0545581691036241,1.920109119063129,0.0798908809368711,1.5502666666666678,2026-05-20,1.920109119063129
2026-05-20,INTW,572,571,735,307.77,stop,VAL,,2026-05-18,321.57,308.62,12.949999999999989,321.57,1.0883255813953476,-1.1593971877525384,0.09376012211547094,-1.2412320926640947,2026-05-20,-1.1593971877525384
2026-05-20,IONX,605,604,675,56.01,target,VAL,,2026-05-18,51.29,48.93,2.3599999999999994,51.29,0.1723666462293075,1.917870065157073,0.08212993484292692,1.905713220338983,2026-05-20,1.917870065157073
2026-05-20,IONL,604,603,675,29.389999999999997,target,VAL,,2026-05-18,26.99,25.79,1.1999999999999993,26.99,0.118685258964144,1.8916989508632134,0.10830104913678673,1.8887160833333332,2026-05-20,1.8916989508632134
2026-05-20,IRE,610,609,681,24.699999999999996,target,VAL,,2026-05-18,23.08,22.27,0.8099999999999987,23.08,0.0607245780156439,1.913233854301674,0.08676614569832593,1.8591254320987651,2026-05-20,1.913233854301674
2026-05-20,IREX,615,614,721,34.02850000000001,target,VAL,,2026-05-18,31.6095,30.4,1.209500000000002,31.6095,0.1343728222996512,1.878048431335554,0.12195156866444891,1.8707576395204664,2026-05-20,1.878048431335554
2026-05-20,MVLL,572,571,955,84.4,eod,VAL,,2026-05-18,84.56,81.0,3.5600000000000023,84.56,0.3254591836734691,-0.14585707406558016,0.10091325384086204,-0.2131047191011225,2026-05-20,-0.14585707406558016
2026-05-20,MRVL,572,571,955,186.205,eod,VAL,,2026-05-18,186.36,182.28,4.0800000000000125,186.36,0.1230960376091327,-0.08642378372772863,0.04843358764929709,-0.3613720098039207,2026-05-20,-0.08642378372772863
2026-05-20,KORU,574,573,576,686.5253,stop,VAL,,2026-05-18,696.98,686.5253,10.454700000000003,696.98,3.2212007874015853,-1.3345769699179875,0.3345769699179875,-1.4718,2026-05-20,-1.3345769699179875
2026-05-20,NNE,631,630,955,24.21,eod,VAL,,2026-05-18,23.83,23.13,0.6999999999999993,23.83,0.049565217391306,0.4583239751552812,0.08453316770186581,0.3749172857142898,2026-05-20,0.4583239751552812
2026-05-20,RVI,582,581,742,58.20500000000001,target,VAL,,2026-05-18,54.575,52.76,1.8150000000000048,54.575,0.4290909090909116,1.7511587277736032,0.2488412722263969,1.7969358126721768,2026-05-20,1.7511587277736032
2026-05-20,SMCI,572,571,616,32.76,target,VAL,,2026-05-18,31.5,30.87,0.629999999999999,31.5,0.0120144518857958,1.9605294414511176,0.03947055854888228,1.7215999999999996,2026-05-20,1.9605294414511176
2026-05-20,USAR,665,664,707,22.145,target,VAL,,2026-05-18,21.355,20.96,0.3949999999999996,21.355,0.0268666906216313,1.9099577452616927,0.0900422547383072,1.803890886075949,2026-05-20,1.9099577452616927
2026-05-20,XE,573,572,574,27.27,stop,VAL,,2026-05-18,28.23,27.27,0.9600000000000009,28.23,0.0557037037037038,-1.0695871913580248,0.06958719135802473,-1.1632987499999998,2026-05-20,-1.0695871913580248
2026-05-20,SOXL,573,572,621,169.66999999999996,target,VAL,,2026-05-18,163.89,161.0,2.8899999999999864,163.89,0.0856629741523995,1.9472750954489966,0.05272490455100353,1.5980978546712785,2026-05-20,1.9472750954489966
2026-05-20,TNA,585,584,675,61.23,target,VAL,,2026-05-18,58.87,57.69,1.1799999999999997,58.87,0.0179152656355079,1.9644616392919425,0.03553836070805755,1.6633425423728814,2026-05-20,1.9644616392919425
2026-05-21,AAOX,580,579,600,59.855,target,VAL,,2026-05-18,53.165,49.82,3.344999999999999,53.165,0.35858870967742,1.8860410434447175,0.11395895655528254,1.8924753064275037,2026-05-21,1.8860410434447175
2026-05-21,AAOI,581,580,955,176.23,eod,VAL,,2026-05-18,172.888,163.66,9.228000000000009,172.888,0.3337057991513407,0.3184298440451497,0.0437288035491266,0.23581127871694654,2026-05-21,0.3184298440451497
2026-05-21,AAP,594,593,955,58.42,eod,VAL,,2026-05-18,59.52,57.23,2.2900000000000063,59.52,0.1230808080808078,-0.5443968594239327,0.06404751444576742,-0.6554344104803482,2026-05-21,-0.5443968594239327
2026-05-21,APLD,577,576,955,47.96,eod,VAL,,2026-05-18,45.235,42.3,2.9350000000000023,45.235,0.0318719301437148,0.911239887514918,0.017209856948454772,0.8512027257240202,2026-05-21,0.911239887514918
2026-05-21,APLX,577,576,955,36.99,eod,VAL,,2026-05-18,33.4,29.5,3.8999999999999986,33.4,0.1495976154992544,0.8785447139745513,0.04196810653827038,0.8775082051282063,2026-05-21,0.8785447139745513
2026-05-21,ARMG,572,571,580,29.565,target,VAL,,2026-05-18,27.355,26.25,1.1050000000000004,27.355,0.0976554621848741,1.901321753678847,0.09867824632115299,1.8619585520361992,2026-05-21,1.901321753678847
2026-05-21,AXTX,586,585,637,50.129999999999995,target,VAL,,2026-05-18,44.05,41.01,3.039999999999999,44.05,0.2150980392156859,1.9230480134158927,0.07695198658410722,1.9271493421052632,2026-05-21,1.9230480134158927
2026-05-21,AXTI,586,585,639,115.63999999999999,target,VAL,,2026-05-18,107.22,103.01,4.209999999999994,107.22,0.2832219061166429,1.9221392146991345,0.0778607853008654,1.827946128266033,2026-05-21,1.9221392146991345
2026-05-21,BE,573,572,613,308.0799999999999,target,VAL,,2026-05-18,292.9,285.31,7.589999999999975,292.9,0.6113480885311852,1.9036173796401596,0.09638262035984026,1.7263810276679834,2026-05-21,1.9036173796401596
2026-05-21,CIFR,573,572,636,20.900000000000006,target,VAL,,2026-05-18,20.1,19.7,0.40000000000000213,20.1,0.0146601941747573,1.942849514563107,0.05715048543689295,1.7202100000000016,2026-05-21,1.942849514563107
2026-05-21,CRDO,574,573,955,193.28,eod,VAL,,2026-05-18,186.85,179.88,6.969999999999999,186.85,0.5239871382636665,0.8364400088574377,0.08608509874658057,0.7325417503586811,2026-05-21,0.8364400088574377
2026-05-21,DXYZ,574,573,656,57.669800000000016,target,VAL,,2026-05-18,51.77,48.8201,2.9499000000000066,51.77,0.1084444444444446,1.955818026223111,0.04418197377688882,1.8753477880606124,2026-05-21,1.955818026223111
