day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2025-04-07,PDD,613,612,629,102.02,stop,TRAIN,H1,2025-04-07,104.72,102.02,2.700000000000003,104.72,0.1337117117117121,-1.064836930263597,0.064836930263597,-1.1673519999999997,2025-04-07,-1.064836930263597
2025-04-07,SLB,613,612,672,32.7563,stop,TRAIN,H1,2025-04-07,34.33,32.7563,1.5736999999999952,34.33,0.0180615300843997,-1.0200030438358008,0.020003043835800847,-1.1073471182563388,2025-04-07,-1.0200030438358008
2025-04-07,TGT,611,610,955,94.31,eod,TRAIN,H1,2025-04-07,94.0,91.855,2.144999999999996,94.0,0.2642884250474376,0.0037527155956012526,0.1407694289265446,-0.04482144522144427,2025-04-07,0.0037527155956012526
2025-04-07,TPR,612,611,955,63.07,eod,TRAIN,H1,2025-04-07,63.065,60.3701,2.694899999999997,63.065,0.2975268817204298,-0.1179093405025892,0.11976469691655726,-0.09923997179858168,2025-04-07,-0.1179093405025892
2025-04-07,UBER,611,610,955,65.475,eod,TRAIN,H1,2025-04-07,64.7,62.33,2.3700000000000045,64.7,0.0671960190393775,0.2876662366922417,0.03933798271703684,0.20900464135020697,2025-04-07,0.2876662366922417
2025-04-07,WFC,611,610,616,63.440000000000005,target,TRAIN,H1,2025-04-07,60.88,59.6,1.2800000000000011,60.88,0.0540692989524571,1.938333360193393,0.061666639806607054,1.7941300000000002,2025-04-07,1.938333360193393
2025-04-07,WMT,611,610,955,83.85,eod,TRAIN,H1,2025-04-07,82.8607,81.1,1.7607,82.8607,0.0617509135200975,0.5078701348781182,0.054008663327141194,0.358461927642415,2025-04-07,0.5078701348781182
2025-04-07,IVV,611,610,955,505.62,eod,TRAIN,H1,2025-04-07,504.89,493.5,11.389999999999986,504.89,0.0969514856471391,0.03783551486855835,0.026255793296500393,-0.12741622475855868,2025-04-07,0.03783551486855835
2025-04-07,SCHX,612,611,955,19.86,eod,TRAIN,H1,2025-04-07,20.035,19.395,0.6400000000000006,20.035,0.011262227238525,-0.3035019175601962,0.030064417560195282,-0.4277149218750007,2025-04-07,-0.3035019175601962
2025-04-08,KOLD,645,644,792,26.029999999999998,target,TRAIN,H1,2025-04-07,24.77,24.14,0.629999999999999,24.77,0.0179595588235292,1.9553657796451918,0.044634220354808324,1.8057649206349202,2025-04-08,1.9553657796451918
2025-04-08,SRTY,672,671,751,32.66,target,TRAIN,H1,2025-04-07,31.36,30.71,0.6499999999999986,31.36,0.0110758885686839,1.9632617098943324,0.03673829010566762,1.8249489230769227,2025-04-08,1.9632617098943324
2025-04-08,TZA,677,676,762,23.094999999999995,target,TRAIN,H1,2025-04-07,21.865,21.25,0.6149999999999984,21.865,0.010938958372223,1.9675919376061415,0.032408062393858614,1.8708986991869916,2025-04-08,1.9675919376061415
2025-04-09,GOOG,603,602,659,145.98685,stop,TRAIN,H1,2025-04-07,148.21,145.98685,2.223150000000004,148.21,0.0791542952460382,-1.0620712346202632,0.06207123462026313,-1.2877999999999994,2025-04-09,-1.0620712346202632
2025-04-09,ON,636,635,651,32.505,stop,TRAIN,H1,2025-04-07,33.0,32.505,0.49499999999999744,33.0,0.0581666666666669,-1.1439750841750853,0.1439750841750854,-1.3284666666666682,2025-04-09,-1.1439750841750853
