symbol,date,split,entry_price_book,pnl,pnl_pct,range_high,range_low,R,entry_bid,entry_ask,mid0,spread0,passive,new_entry,cost_new,terr,qerr
IREX,2026-03-11,VAL,25.23548,4835.342569839998,9.672332167615094,25.16,24.19,0.9699999999999989,25.15,25.19,25.17,0.0400000000000027,True,25.17,0.0,,
TURB,2026-03-12,VAL,4.4816046,1143.6160114824029,2.287379288212982,4.4682,4.254,0.21420000000000083,4.44,4.47,4.455,0.0299999999999993,True,4.455,0.0,,
KLAR,2026-03-13,VAL,15.827339999999998,337.09689000000446,0.6742131021384606,15.78,15.27,0.5099999999999998,15.73,15.8,15.765,0.0700000000000002,False,15.95,0.024999999999999467,,
ANNA,2026-03-20,VAL,4.112299999999999,28245.7251101,56.49445188341748,4.1,3.85,0.24999999999999956,4.06,4.12,4.09,0.0600000000000005,True,4.09,0.0,,
BATL,2026-03-27,VAL,6.34899,-524.3072624999929,-1.048650257757519,6.33,5.81,0.5200000000000005,6.32,6.34,6.33,0.0199999999999995,True,6.33,0.0,,
IREX,2026-03-31,VAL,16.30878,-1852.7924999999937,-3.706592399921994,16.26,15.72,0.5400000000000009,16.21,16.29,16.25,0.0799999999999983,True,16.25,0.0,,
UGRO,2026-04-10,VAL,17.849387999999998,-244.15756799998545,-0.4883528779809975,17.796,16.97,0.8260000000000005,17.68,17.8,17.740000000000002,0.120000000000001,True,17.740000000000002,0.0,,
NBIG,2026-04-14,VAL,17.5657396,-236.89990159999675,-0.4738747237264,17.5132,17.03,0.4832000000000001,17.41,17.52,17.465,0.1099999999999994,False,17.6,0.05500000000000149,,
SMU,2026-04-15,VAL,13.95173,1430.6367934599984,2.861900423818405,13.91,13.0827,0.8272999999999993,13.88,13.93,13.905000000000001,0.0499999999999989,True,13.905000000000001,0.0,,
ROLR,2026-04-16,VAL,6.4192,7468.734191600005,14.937722682990964,6.4,6.15,0.25,6.37,6.42,6.395,0.0499999999999998,True,6.395,0.0,,
HOOG,2026-04-17,VAL,29.13715,-1065.4401706928577,-2.1309080687615056,29.05,27.8,1.25,28.95,29.14,29.045,0.1900000000000012,True,29.045,0.0,,
SKYQ,2026-04-20,VAL,9.65889,-932.6023631999924,-1.865413106474952,9.63,9.07,0.5600000000000005,9.61,9.64,9.625,0.0300000000000011,True,9.625,0.0,,
EFOI,2026-04-21,VAL,5.827429999999999,-1765.6762051500057,-3.531398360855483,5.81,5.6,0.20999999999999996,5.78,5.8,5.79,0.0199999999999995,True,5.79,0.0,,
IREX,2026-04-30,VAL,27.09103,-1527.6956084999956,-3.056433439407795,27.01,26.2893,0.7207000000000008,26.94,27.08,27.009999999999998,0.139999999999997,True,27.009999999999998,0.0,,
LWLG,2026-05-13,VAL,17.01088,-52.57870999999336,-0.1051679866062058,16.96,16.272,0.6880000000000024,16.95,16.97,16.96,0.0199999999999995,True,16.96,0.0,,
YSS,2026-05-18,VAL,26.51932,-1993.4880182982104,-3.9878598899109807,26.44,25.0,1.4400000000000013,26.33,26.5,26.415,0.1700000000000017,False,26.98,0.10500000000000043,,
IREG,2026-05-20,VAL,17.58259,5194.294625170007,10.391227921863406,17.53,17.0,0.5300000000000011,17.47,17.54,17.505,0.0700000000000002,False,17.71,0.0600000000000005,,
