day,symbol,entry_m
2025-03-03,ORGO,579
2025-03-03,TECS,599
2025-03-04,BITU,579
2025-03-04,BITX,579
2025-03-04,DQ,596
2025-03-04,DSP,577
2025-03-04,GRAL,581
2025-03-04,GRRR,577
2025-03-04,GTLB,578
2025-03-04,INOD,579
2025-03-04,IONQ,579
2025-03-04,IPI,606
2025-03-04,KGEI,586
2025-03-04,LTBR,577
2025-03-04,MSTR,579
2025-03-04,NAMS,611
2025-03-04,NNE,578
2025-03-04,OKLO,578
2025-03-04,RCAT,577
2025-03-04,SMCI,577
2025-03-04,SMCL,577
2025-03-04,SMCX,577
2025-03-04,TGTX,580
2025-03-04,TSLG,578
2025-03-04,TSLL,578
2025-03-04,TSLT,578
2025-03-04,TSMX,578
2025-03-04,VNET,715
2025-03-05,ADPT,577
2025-03-05,ASTS,590
2025-03-05,AVAV,581
2025-03-05,CYD,590
2025-03-05,GRRR,589
2025-03-05,IBIO,577
2025-03-05,LAZR,584
2025-03-05,LNSR,577
2025-03-05,MSTU,608
2025-03-05,OILD,673
2025-03-05,RIGL,583
2025-03-05,ROST,579
2025-03-05,SBIT,688
2025-03-05,VNET,607
2025-03-06,ALBT,589
2025-03-06,ASTS,590
2025-03-06,BJ,577
2025-03-06,CRWL,621
2025-03-06,FLD,578
2025-03-06,FLGT,579
2025-03-06,GV,577
2025-03-06,HIPO,619
2025-03-06,KR,582
2025-03-06,MEXX,610
2025-03-06,RGTI,581
2025-03-06,TPB,601
2025-03-06,TSDD,585
2025-03-06,VNET,579
2025-03-06,WLDN,584
2025-03-07,AARD,630
2025-03-07,APP,585
2025-03-07,ARRY,580
2025-03-07,ASLE,582
2025-03-07,AVGX,830
2025-03-07,AVL,830
2025-03-07,ETHT,589
2025-03-07,GCO,593
2025-03-07,GRRR,580
2025-03-07,JNUG,596
2025-03-07,JVA,609
2025-03-07,MSTX,589
2025-03-07,PLTU,583
2025-03-07,PTIR,582
2025-03-07,SION,663
2025-03-07,SMCX,581
2025-03-07,SMST,686
2025-03-07,UPB,758
2025-03-07,ZIM,582
2025-03-10,ARRY,578
2025-03-10,ELF,579
2025-03-10,EMBC,777
2025-03-10,GPRE,577
2025-03-10,KTOS,585
2025-03-10,MATV,577
2025-03-10,MLYS,583
2025-03-10,MRNA,586
2025-03-10,MSTZ,580
2025-03-10,MWA,582
2025-03-10,SMCL,597
2025-03-10,SMCX,597
2025-03-10,SMST,580
2025-03-10,TRVI,578
2025-03-10,TSLZ,593
2025-03-11,AMZZ,588
2025-03-11,API,577
2025-03-11,APP,579
2025-03-11,CIEN,704
2025-03-11,CRWL,581
2025-03-11,FBL,585
2025-03-11,GDXU,583
2025-03-11,JNUG,584
2025-03-11,LEGN,582
2025-03-11,LITE,600
2025-03-11,METC,577
2025-03-11,NVDL,581
2025-03-11,NVDU,581
2025-03-11,OKLO,581
2025-03-11,RDDT,585
2025-03-11,RDW,577
2025-03-11,RSI,578
2025-03-11,SMCX,577
2025-03-11,TSLR,580
2025-03-11,XPEV,581
2025-03-12,BBAR,770
2025-03-12,CDRE,584
2025-03-12,DWTX,596
2025-03-12,DXYZ,583
2025-03-12,LFMD,577
2025-03-12,MSTZ,596
2025-03-12,PDYN,577
2025-03-12,RGTI,577
2025-03-12,SMST,596
2025-03-12,SPHL,624
2025-03-12,TSLZ,664
2025-03-12,UVIX,598
2025-03-12,VG,700
2025-03-12,VKTX,577
2025-03-12,VSCO,710
2025-03-13,AEO,577
2025-03-13,AZ,641
2025-03-13,BOIL,632
2025-03-13,DLTR,577
2025-03-13,EH,577
2025-03-13,FCEL,577
2025-03-13,INTW,577
2025-03-13,LEGH,592
2025-03-13,TSLZ,579
2025-03-14,ARQQ,577
2025-03-14,DOCU,577
2025-03-14,FUTU,577
2025-03-14,GRRR,606
2025-03-14,MSTU,577
2025-03-14,MSTX,577
2025-03-14,MUU,577
2025-03-14,PLCE,661
2025-03-14,PSIX,586
2025-03-14,RAPP,585
2025-03-14,RGC,772
2025-03-14,SNDK,578
2025-03-14,SOFX,697
2025-03-14,TSLZ,603
2025-03-17,AAOI,583
2025-03-17,AMDL,577
2025-03-17,ASND,593
2025-03-17,AVGX,577
2025-03-17,AVL,577
2025-03-17,CMPR,587
2025-03-17,CRWL,580
2025-03-17,CSAI,577
2025-03-17,HSAI,646
2025-03-17,INTW,577
2025-03-17,LGND,748
