day,symbol,m,px,pb,cb,sp_mean,n_q
2025-09-05,CRGY,577,9.005817142857143,a,mid,0.012109181141438953,403
2026-05-05,GBTG,634,9.363464285714286,a,mid,0.009999999999999787,155
2026-03-06,ARCO,664,7.93,a,mid,0.011304347826086955,115
2026-02-17,CRSR,656,6.0612642857142855,a,mid,0.010162601626016513,123
2026-03-05,PDYN,587,9.177364285714283,a,mid,0.023190386427898342,2122
2025-06-18,APPS,577,7.404227142857143,a,mid,0.012728799328295556,2382
2025-09-25,HTZ,580,6.882385,a,mid,0.013606557377049076,488
2025-12-30,DAVA,578,6.4474342857142855,a,mid,0.01500000000000005,118
2025-01-10,WOLF,583,5.590867142857142,a,mid,0.010784671532846728,548
2025-06-24,VISN,576,6.971869285714286,a,mid,0.019178272980501294,718
2026-04-16,IONZ,687,7.161466428571429,a,mid,0.012681426814268188,813
2026-03-30,VRDN,575,17.8,b,entry,0.1827586206896552,551
2025-11-25,SEM,575,16.74,b,entry,0.16680851063829855,47
2025-11-24,OSCR,575,15.8448,b,entry,0.029579950582421556,2833
2026-01-15,RILY,575,10.29,b,entry,0.04699389905712706,1803
2025-02-03,BTDR,575,17.14,b,entry,0.06621052631578936,380
2026-02-23,BIZD,575,13.305,b,entry,0.010568561872909592,299
2025-01-31,FSLY,575,10.983450714285713,b,entry,0.03628205128205126,156
2025-08-15,CTLP,575,10.885,b,entry,0.01004098360655738,244
2025-03-31,ETH,575,17.01,b,entry,0.010260180995474771,2652
2026-02-12,NTST,575,19.15,b,entry,0.03429906542056075,214
2026-04-30,VISN,575,12.971,b,entry,0.014856046065259367,1563
2025-12-26,METC,575,17.6,b,entry,0.10677777777777765,90
2025-07-11,UMAC,575,10.35,b,entry,0.053583815028901756,519
2026-04-07,AESI,575,11.04,b,entry,0.022380952380953292,105
2025-07-30,HAYW,575,15.371571428571428,b,entry,0.05590643274853812,171
2025-07-15,AEO,575,10.4203,b,entry,0.011124999999999772,800
2025-08-01,BTSG,575,19.575,b,entry,0.054206349206349105,126
2026-04-09,SMPL,575,11.24,b,entry,0.0638437978560487,653
2025-10-27,UMAC,575,15.1154,b,entry,0.0687580299785866,467
2025-05-16,DBRG,575,11.7,b,entry,0.034014423076923046,416
2025-10-08,CVE,575,17.09,b,entry,0.01412188365650959,1805
2025-10-15,GWAV,575,15.0,b,entry,0.30166666666666697,24
2025-07-16,RGTI,575,14.590786428571429,b,entry,0.011289640591966158,5676
2026-03-05,AMPX,575,14.29,b,entry,0.04225280695400215,2761
2026-04-24,FLG,575,14.449,b,entry,0.030367346938775193,490
2025-11-20,JACK,575,14.997105,b,entry,0.1784313725490195,51
2026-03-31,SHC,575,14.15,b,entry,0.12895522388059694,67
2025-02-27,PBR.A,575,12.45,b,entry,0.010000000000000222,1086
2025-04-16,SNDX,575,11.33,b,entry,,0
2025-07-11,DQ,575,19.82,b,entry,0.1124444444444441,45
2025-07-23,LBRT,575,12.18,b,entry,0.04753333333333329,150
2025-01-07,FRO,575,15.65,b,entry,0.023318594368163904,4297
2026-05-27,BAX,575,19.54692857142857,b,entry,0.04777777777777724,126
2026-05-27,BAX,575,19.615,b,entry,0.04777777777777724,126
2026-04-29,NEO,575,10.035714285714285,b,entry,0.06610567514677097,1022
2025-11-13,DLO,575,13.53,b,entry,0.04099099099099101,1110
2025-11-05,CDNA,575,16.1,b,entry,0.28331034482758666,145
2026-03-03,VG,575,12.828928571428571,b,entry,0.0253179190751445,1730
2025-10-28,NOV,575,14.88,b,entry,0.04927374301675966,358
2025-11-17,QUBT,575,11.4076,b,entry,0.013549398849973866,5739
