day,symbol,hour,entry_m,entry,gate5,is_sig,sig_day,rr_bare,why_bare,exitm_bare
2025-01-08,DMAC,10,661,5.47,False,True,True,0.0914076782449788,eod,955
2025-01-08,DMAC,12,784,5.505,False,False,True,-0.22706630336057626,eod,955
2025-01-08,EBAY,9,600,70.6375,True,False,False,-1.0490000000000024,stop,728
2025-01-08,EBAY,10,660,70.21,True,False,False,-1.0490000000000048,stop,765
2025-01-08,EBAY,11,720,70.0676,True,False,False,-1.0489999999999995,stop,767
2025-01-08,EBAY,12,780,68.8308,True,False,False,0.42800606705138244,eod,955
2025-01-08,EBAY,13,840,69.095,True,False,False,0.23518344308560854,eod,955
2025-01-08,EBAY,14,900,68.845,True,False,False,0.41760476432565924,eod,955
2025-01-08,ENSC,9,600,7.89,False,False,True,0.1901140684410663,eod,959
2025-01-08,ENSC,10,665,7.8501,False,False,True,0.44521725837887094,eod,959
2025-01-08,ENSC,12,780,7.83,False,False,True,0.5747126436781598,eod,959
2025-01-08,EOLS,9,600,10.45,False,False,True,-1.049000000000003,stop,745
2025-01-08,EOLS,10,661,10.35,False,True,True,-1.0489999999999966,stop,829
2025-01-08,EOLS,11,720,10.33,False,False,True,-1.0489999999999973,stop,832
2025-01-08,EOLS,12,780,10.1999,False,False,True,-0.04852988754791715,eod,955
2025-01-08,EOLS,13,840,10.15,False,False,True,0.19704433497536583,eod,955
2025-01-08,EOLS,14,900,10.165,False,False,True,0.12297097884899309,eod,955
2025-01-08,ETON,9,600,11.85,False,False,True,-1.0490000000000022,stop,614
2025-01-08,ETON,10,660,11.97,False,False,True,0.11695906432748,eod,955
2025-01-08,ETON,11,720,12.0705,False,False,True,-0.3003189594465836,eod,955
2025-01-08,ETON,12,781,12.02,False,False,True,-0.09151414309484253,eod,955
2025-01-08,ETON,13,840,12.0,False,False,True,-0.008333333333336109,eod,955
2025-01-08,ETON,14,900,11.995,False,True,True,0.012505210504377274,eod,955
2025-01-08,ETQ,11,723,9.65,False,False,False,0.8290155440414532,eod,959
2025-01-08,ETQ,12,782,9.89,True,False,False,-0.4044489383215355,eod,959
2025-01-08,EXTR,9,600,16.96,False,False,False,1.7983490566037628,eod,955
2025-01-08,EXTR,10,660,17.092,False,False,False,1.3983150011701375,eod,955
2025-01-08,EXTR,11,720,17.14,False,False,False,1.2543757292882123,eod,955
2025-01-08,EXTR,12,780,17.17,False,False,False,1.1648223645893991,eod,955
2025-01-08,EXTR,13,840,17.37,False,False,False,0.5757052389176714,eod,955
2025-01-08,EXTR,14,900,17.59,False,False,False,-0.05685048322910611,eod,955
