day,symbol,split,leg,leg_m,price,rpct,sp_mean,sp_med,n_q,err
2025-12-18,PHAT,TRAIN,exit,955,16.53,0.02,0.03970873786407608,0.03999999999999915,103,
2025-11-13,LHAI,TRAIN,entry,660,11.48,0.0199999999999999,,,0,
2025-11-13,LHAI,TRAIN,exit,955,11.48,0.0199999999999999,0.07235294117647062,0.08000000000000007,17,
2025-04-09,SII,TRAIN,entry,840,43.17,0.0199999999999999,0.464184397163121,0.5500000000000043,141,
2025-04-09,SII,TRAIN,exit,955,43.17,0.0199999999999999,0.05798053527980314,0.05999999999999517,411,
2025-08-22,UI,TRAIN,entry,660,468.815,0.02,6.37999999999999,6.3700000000000045,10,
2025-08-22,UI,TRAIN,exit,677,468.815,0.02,7.29833333333334,7.075000000000017,18,
2025-05-20,BNTX,TRAIN,entry,720,101.29,0.02,0.4313580246913564,0.46999999999999886,81,
2025-05-20,BNTX,TRAIN,exit,955,101.29,0.02,0.2235087719298227,0.21999999999999886,57,
2025-01-14,TYRA,TRAIN,entry,844,16.25,0.0199999999999999,0.08108108108108195,0.08999999999999986,37,
2025-01-14,TYRA,TRAIN,exit,955,16.25,0.0199999999999999,0.029152542372881517,0.030000000000001137,59,
2025-10-20,VSH,TRAIN,entry,660,17.665,0.02,0.025815602836880457,0.030000000000001137,282,
2025-10-20,VSH,TRAIN,exit,955,17.665,0.02,0.010270270270271428,0.010000000000001563,333,
2025-12-10,PLXS,TRAIN,entry,900,163.565,0.0199999999999999,0.9130434782608671,0.9799999999999898,46,
2025-12-10,PLXS,TRAIN,exit,955,163.565,0.0199999999999999,0.4710256410256484,0.46000000000000796,39,
2025-08-06,LMND,TRAIN,entry,600,49.94,0.02,0.08197222222222157,0.0799999999999983,360,
2025-08-06,LMND,TRAIN,exit,758,49.94,0.02,0.037251308900524,0.030000000000001137,382,
2025-05-28,BULL,TRAIN,entry,720,13.86,0.02,0.04333333333333309,0.049999999999998934,57,
2025-05-28,BULL,TRAIN,exit,955,13.86,0.02,0.016305732484076154,0.009999999999999787,157,
2025-03-07,WLDN,TRAIN,entry,840,41.08,0.02,0.07608695652173728,0.04999999999999716,23,
2025-03-07,WLDN,TRAIN,exit,930,41.08,0.02,0.16312499999999863,0.1599999999999966,16,
2025-11-13,NESR,TRAIN,entry,780,13.81,0.02,0.08000000000000007,0.08000000000000007,12,
2025-11-13,NESR,TRAIN,exit,955,13.81,0.02,0.029151785714286702,0.030000000000001137,224,
2025-03-21,BA,TRAIN,entry,720,181.75,0.0199999999999999,0.17647331786542667,0.1799999999999784,431,
2025-03-21,BA,TRAIN,exit,955,181.75,0.0199999999999999,0.09094978165938815,0.0800000000000125,916,
2025-04-14,PAM,TRAIN,entry,840,78.71,0.02,0.4399999999999977,0.4399999999999977,3,
2025-04-14,PAM,TRAIN,exit,955,78.71,0.02,0.21124999999999577,0.14000000000000057,72,
2025-04-07,MFC,TRAIN,entry,660,27.3425,0.0199999999999999,0.02755146262188493,0.029999999999997584,1846,
2025-04-07,MFC,TRAIN,exit,955,27.3425,0.0199999999999999,0.0106762680025048,0.010000000000001563,1597,
2025-04-09,DOX,TRAIN,entry,840,84.27,0.02,0.3586000000000035,0.25,50,
2025-04-09,DOX,TRAIN,exit,955,84.27,0.02,0.12004716981132171,0.10999999999999943,212,
2025-04-09,DVA,TRAIN,entry,840,153.885,0.0199999999999999,1.1668085106382926,1.2800000000000011,47,
2025-04-09,DVA,TRAIN,exit,955,153.885,0.0199999999999999,0.3732061068702304,0.36000000000001364,131,
2025-08-26,EH,TRAIN,entry,600,16.5138,0.02,0.05689655172413902,0.07000000000000028,87,
2025-08-26,EH,TRAIN,exit,608,16.5138,0.02,0.017457081545064094,0.010000000000001563,932,
2025-10-31,BFAM,TRAIN,entry,600,106.305,0.02,0.6738190954773865,0.6400000000000006,199,
2025-10-31,BFAM,TRAIN,exit,721,106.305,0.02,0.3998823529411729,0.3999999999999915,85,
2025-04-07,ACEL,TRAIN,entry,661,9.77,0.0199999999999999,0.03951219512195149,0.040000000000000924,123,
2025-04-07,ACEL,TRAIN,exit,955,9.77,0.0199999999999999,0.010297619047618828,0.009999999999999787,168,
2025-08-11,ARLO,TRAIN,entry,600,17.22,0.02,0.04432432432432487,0.03999999999999915,74,
2025-08-11,ARLO,TRAIN,exit,955,17.22,0.02,0.011935483870967458,0.010000000000001563,248,
2025-02-21,NVAX,TRAIN,entry,780,8.1,0.0200000000000001,0.02260606060606098,0.02000000000000135,660,
