day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-01-30,CURV,9,600,6.68,6.72,6.57,6.73,6.68,False,True,True,False,False,True,False,6.4,6.4,6.8136,0.02000000000000006,-0.22455089820359403,eod,955,-0.22455089820359403,eod,955,6.7467999999999995,0.009999999999999962,-1.1009999999999895,stop,602,-1.1009999999999895,stop,602
2025-01-30,CURV,14,900,6.67,6.67,6.57,6.76,6.67,False,False,False,True,False,True,False,6.4,6.4,6.8034,0.019999999999999993,-0.2998500749625191,eod,955,-0.2998500749625191,eod,955,6.76,0.013493253373313321,-1.0751111111111,stop,904,-1.0751111111111,stop,904
2025-01-30,DBI,13,840,5.095,5.095,5.08,5.165,5.095,False,True,True,False,False,True,False,4.865,4.865,5.196899999999999,0.019999999999999934,-1.0509999999999964,stop,849,-1.0509999999999964,stop,849,5.165,0.013738959764475032,-1.0737857142857121,stop,848,-1.0737857142857121,stop,848
2025-01-30,DBI,14,900,5.13,5.135,5.08,5.2301,5.13,False,False,False,True,False,True,False,4.865,4.865,5.2326,0.019999999999999962,0.0,eod,955,0.0,eod,955,5.2301,0.019512670565302204,0.0,eod,955,0.0,eod,955
2025-01-30,DUST,11,720,50.34,50.36,52.63,50.36,50.34,False,False,False,True,False,True,False,49.6,49.6,51.3468,0.019999999999999966,-0.3675009932459257,eod,955,-0.3675009932459257,eod,955,50.8434,0.009999999999999983,-1.100999999999982,stop,939,-1.100999999999982,stop,939
2025-01-30,HWKN,11,720,104.64,104.83,115.0,107.97,104.64,False,True,False,False,False,True,False,101.84,101.84,106.7328,0.01999999999999997,-1.269681766055041,stop,827,-1.269681766055041,stop,827,107.97,0.03182339449541283,-1.0384354354354304,stop,935,-1.0384354354354304,stop,935
2025-01-30,IDYA,9,600,24.215,24.215,24.16,24.66,24.215,False,False,False,True,False,True,False,23.98,23.475,24.6993,0.020000000000000046,0.9807970266363832,eod,955,0.9807970266363832,eod,955,24.66,0.018377039025397494,1.0674157303370813,eod,955,1.0674157303370813,eod,955
2025-01-30,IMPP,12,780,2.845,2.845,2.76,2.85,2.845,False,True,True,False,False,True,False,2.76,2.76,2.9019000000000004,0.02000000000000006,-1.0509999999999982,stop,898,-1.0509999999999982,stop,898,2.87345,0.009999999999999952,-1.1009999999999869,stop,865,-1.1009999999999869,stop,865
2025-01-30,INGN,10,660,12.22,12.225,12.72,12.9,12.22,False,True,False,False,False,True,False,12.2,11.92,12.464400000000001,0.02000000000000005,1.0229132569558075,eod,955,1.0229132569558075,eod,955,12.9,0.055646481178396046,0.36764705882352955,eod,955,0.36764705882352955,eod,955
2025-01-30,INSM,9,600,79.09,79.09,78.8,80.63,79.09,False,False,False,True,False,True,False,78.13,75.57,80.6718,0.020000000000000014,1.8396763181185956,eod,955,2.0,target,625,80.63,0.019471488178024934,1.889610389610397,eod,955,2.0,target,625
