symbol,tradable,shortable,easy_to_borrow,exchange
GCBC,True,True,True,AssetExchange.NASDAQ
GCMG,True,True,True,AssetExchange.NASDAQ
GCT,True,True,True,AssetExchange.NASDAQ
BIDWR,True,False,False,AssetExchange.NASDAQ
GDRX,True,True,True,AssetExchange.NASDAQ
GDX,True,True,True,AssetExchange.ARCA
GDXJ,True,True,True,AssetExchange.ARCA
GDYN,True,True,True,AssetExchange.NASDAQ
GRND,True,True,True,AssetExchange.NYSE
BHV,True,False,False,AssetExchange.NYSE
BHR.PRB,True,False,False,AssetExchange.NYSE
GEHC,True,True,True,AssetExchange.NASDAQ
GEMI,True,True,True,AssetExchange.NASDAQ
BHFAP,True,False,False,AssetExchange.NASDAQ
GENB,True,True,True,AssetExchange.NASDAQ
GENI,True,True,True,AssetExchange.NYSE
GEOS,True,True,True,AssetExchange.NASDAQ
VECA.U,True,False,False,AssetExchange.NYSE
GERN,True,True,True,AssetExchange.NASDAQ
VBIO,True,False,False,AssetExchange.NASDAQ
SDVKY,True,False,False,AssetExchange.OTC
GEVO,True,True,True,AssetExchange.NASDAQ
GFI,True,True,True,AssetExchange.NYSE
VBCJ,True,False,False,AssetExchange.NASDAQ
GFS,True,True,True,AssetExchange.NASDAQ
VBCH,True,False,False,AssetExchange.NASDAQ
GHI,True,True,True,AssetExchange.NYSE
BHFAM,True,False,False,AssetExchange.NASDAQ
BHFAL,True,False,False,AssetExchange.NASDAQ
GHRS,True,True,True,AssetExchange.NASDAQ
GIC,True,True,True,AssetExchange.NYSE
BHAVU,True,False,False,AssetExchange.NASDAQ
BHAV,True,False,False,AssetExchange.NASDAQ
GILD,True,True,True,AssetExchange.NASDAQ
GLIBK,True,True,True,AssetExchange.NASDAQ
BH.A,True,False,False,AssetExchange.NYSE
GLTR,True,True,True,AssetExchange.ARCA
GMAB,True,True,True,AssetExchange.NASDAQ
BGUS,True,False,False,AssetExchange.NASDAQ
GME,True,True,True,AssetExchange.NYSE
GMED,True,True,True,AssetExchange.NYSE
GMF,True,True,True,AssetExchange.ARCA
GMMF,True,True,True,AssetExchange.NYSE
GNK,True,True,True,AssetExchange.NYSE
GNL,True,True,True,AssetExchange.NYSE
BGRO,True,False,False,AssetExchange.NASDAQ
BFS.PRD,True,False,False,AssetExchange.NYSE
BFH.PRB,True,False,False,AssetExchange.NYSE
CLUB,True,False,False,AssetExchange.ARCA
GNR,True,True,True,AssetExchange.ARCA
GNSS,True,True,True,AssetExchange.NASDAQ
AACPW,True,False,False,AssetExchange.NASDAQ
BFH.PRA,True,False,False,AssetExchange.NYSE
GNTX,True,True,True,AssetExchange.NASDAQ
GNW,True,True,True,AssetExchange.NYSE
GOF,True,True,True,AssetExchange.NYSE
GOOG,True,True,True,AssetExchange.NASDAQ
GOOGL,True,True,True,AssetExchange.NASDAQ
BFEW,True,False,False,AssetExchange.BATS
GOOGM,True,True,True,AssetExchange.NASDAQ
GOVZ,True,True,True,AssetExchange.BATS
GPCR,True,True,True,AssetExchange.NASDAQ
FGI,True,False,False,AssetExchange.NASDAQ
BFAP,True,False,False,AssetExchange.ARCA
GPOR,True,True,True,AssetExchange.NYSE
BERZ,True,False,False,AssetExchange.ARCA
BEPJ,True,False,False,AssetExchange.NYSE
BEPI,True,False,False,AssetExchange.NYSE
GPRE,True,True,True,AssetExchange.NASDAQ
GPRO,True,True,True,AssetExchange.NASDAQ
GRAB,True,True,True,AssetExchange.NASDAQ
GREK,True,True,True,AssetExchange.ARCA
BEBE.WS,True,False,False,AssetExchange.NYSE
GRID,True,True,True,AssetExchange.NASDAQ
GPN,True,True,True,AssetExchange.NYSE
GRNT,True,True,True,AssetExchange.NYSE
GRNY,True,True,True,AssetExchange.ARCA
BEBE,True,False,False,AssetExchange.NYSE
GRPN,True,True,True,AssetExchange.NASDAQ
BEATW,True,False,False,AssetExchange.NASDAQ
BEAGU,True,False,False,AssetExchange.NASDAQ
GRVY,True,True,True,AssetExchange.NASDAQ
GS.PRD,True,True,True,AssetExchange.NYSE
GSLC,True,True,True,AssetExchange.ARCA
GSST,True,True,True,AssetExchange.BATS
GSWO,True,True,True,AssetExchange.BATS
GTLB,True,True,True,AssetExchange.NASDAQ
BDMDW,True,False,False,AssetExchange.NASDAQ
GTM,True,True,True,AssetExchange.NASDAQ
BDMD,True,False,False,AssetExchange.NASDAQ
RULE,True,False,False,AssetExchange.BATS
HAFC,True,True,True,AssetExchange.NASDAQ
HAPN,True,True,True,AssetExchange.NASDAQ
HBAN,True,True,True,AssetExchange.NASDAQ
BDL,True,False,False,AssetExchange.AMEX
BDIV,True,False,False,AssetExchange.ARCA
BDGS,True,False,False,AssetExchange.NASDAQ
HBB,True,True,True,AssetExchange.NYSE
HBCP,True,True,True,AssetExchange.NASDAQ
BCSS.WS,True,False,False,AssetExchange.NYSE
BCSS.U,True,False,False,AssetExchange.NYSE
HBNC,True,True,True,AssetExchange.NASDAQ
BCSS,True,False,False,AssetExchange.NYSE
HCSG,True,True,True,AssetExchange.NASDAQ
BCPL,True,False,False,AssetExchange.ARCA
HDEF,True,True,True,AssetExchange.ARCA
BCOR,True,False,False,AssetExchange.ARCA
HDSN,True,True,True,AssetExchange.NASDAQ
BCG,True,False,False,AssetExchange.NASDAQ
BCFN,True,False,False,AssetExchange.NASDAQ
HDV,True,True,True,AssetExchange.ARCA
HE,True,True,True,AssetExchange.NYSE
HELO,True,True,True,AssetExchange.ARCA
HELP,True,True,True,AssetExchange.NASDAQ
BCEM,True,False,False,AssetExchange.NYSE
BCCQ,True,False,False,AssetExchange.NASDAQ
HESM,True,True,True,AssetExchange.NYSE
HEZU,True,True,True,AssetExchange.ARCA
HFFG,True,True,True,AssetExchange.NASDAQ
BBUL,True,False,False,AssetExchange.NASDAQ
BBSC,True,False,False,AssetExchange.BATS
HFRO,True,True,True,AssetExchange.NYSE
HG,True,True,True,AssetExchange.NYSE
BBSB,True,False,False,AssetExchange.BATS
HIPS,True,True,True,AssetExchange.ARCA
BBRE,True,False,False,AssetExchange.BATS
BBP,True,False,False,AssetExchange.ARCA
HITI,True,True,True,AssetExchange.NASDAQ
HLMN,True,True,True,AssetExchange.NASDAQ
