period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2025-04-25,8,15.4,-28.53,-32.54,-45.67
2025-05-02,7,-202.36,-24.96,-32.54,-259.86
2025-05-09,7,8.57,-24.96,-32.54,-48.93
2025-05-16,7,-454.07,-24.96,-32.54,-511.57
2025-05-23,7,-171.85,-24.96,-32.54,-229.36
2025-05-30,7,51.93,-24.96,-32.54,-5.57
2025-06-06,7,-43.36,-24.96,-32.54,-100.87
2025-06-13,7,-82.74,-24.96,-32.54,-140.25
2025-06-20,7,61.57,-24.96,-32.54,4.07
2025-06-27,7,-226.11,-24.96,-32.54,-283.61
2025-07-03,6,-108.77,-21.4,-32.54,-162.71
2025-07-11,8,-96.31,-28.53,-32.54,-157.38
2025-07-18,7,10.05,-24.96,-32.54,-47.46
2025-07-25,7,-43.28,-24.96,-32.54,-100.79
2025-08-01,7,-103.59,-24.96,-32.54,-161.09
2025-08-08,7,-142.16,-24.96,-32.54,-199.67
2025-08-15,7,-80.29,-24.96,-32.54,-137.79
2025-08-22,7,143.29,-24.96,-32.54,85.79
2025-08-29,7,-58.27,-24.96,-32.54,-115.78
2025-09-05,7,-49.76,-24.96,-32.54,-107.26
2025-09-12,7,26.85,-24.96,-32.54,-30.65
2025-09-19,7,-70.75,-24.96,-32.54,-128.26
2025-09-26,7,-73.46,-24.96,-32.54,-130.96
2025-10-03,7,-51.95,-24.96,-32.54,-109.46
2025-10-10,7,-7.6,-24.96,-32.54,-65.11
2025-10-17,7,0.03,-24.96,-32.54,-57.47
2025-10-24,7,-62.47,-24.96,-32.54,-119.97
2025-10-31,7,34.91,-24.96,-32.54,-22.6
2025-11-07,7,-55.91,-24.96,-32.54,-113.41
2025-11-14,7,120.03,-24.96,-32.54,62.53
2025-11-21,7,3.28,-24.96,-32.54,-54.22
2025-11-28,7,-286.04,-24.96,-32.54,-343.55
2025-12-05,7,-33.97,-24.96,-32.54,-91.47
2025-12-12,7,18.01,-24.96,-32.54,-39.49
2025-12-19,7,70.04,-24.96,-32.54,12.53
2025-12-26,7,-68.61,-24.96,-32.54,-126.11
2026-01-02,7,-50.27,-24.96,-32.54,-107.77
2026-01-09,7,-46.65,-24.96,-32.54,-104.16
2026-01-16,7,-50.47,-24.96,-32.54,-107.97
2026-01-23,7,165.62,-24.96,-32.54,108.12
2026-01-30,7,-29.29,-24.96,-32.54,-86.8
2026-02-06,7,161.13,-24.96,-32.54,103.62
2026-02-13,7,-6.73,-24.96,-32.54,-64.24
2026-02-20,7,-33.03,-24.96,-32.54,-90.53
2026-02-27,7,45.76,-24.96,-32.54,-11.74
2026-03-06,7,-54.56,-24.96,-32.54,-112.07
2026-03-13,7,5.46,-24.96,-32.54,-52.04
2026-03-20,7,26.17,-24.96,-32.54,-31.34
2026-03-27,7,17.19,-24.96,-32.54,-40.31
2026-04-02,6,-102.51,-21.4,-32.54,-156.45
2026-04-10,8,-162.2,-28.53,-32.54,-223.27
2026-04-17,7,-450.01,-24.96,-32.54,-507.51
2026-04-24,7,38.93,-24.96,-32.54,-18.57
2026-05-01,7,-13.58,-24.96,-32.54,-71.09
2026-05-08,7,-69.01,-24.96,-32.54,-126.51
2026-05-15,7,17.08,-24.96,-32.54,-40.43
2026-05-22,7,26.86,-24.96,-32.54,-30.65
2026-05-29,7,-96.39,-24.96,-32.54,-153.9
2026-06-05,7,33.55,-24.96,-32.54,-23.95
2026-06-12,7,113.88,-24.96,-32.54,56.37
2026-06-18,6,121.37,-21.4,-32.54,67.43
2026-06-26,8,-126.44,-28.53,-32.54,-187.51
2026-07-02,6,-137.07,-21.4,-32.54,-191.0
2026-07-10,8,-43.81,-28.53,-32.54,-104.88
2026-07-17,7,-49.88,-24.96,-32.54,-107.38
2026-07-24,7,40.5,-24.96,-32.54,-17.01
2026-07-31,7,106.21,-24.96,-32.54,48.7
2026-08-07,7,-208.55,-24.96,-32.54,-266.06
2026-08-14,7,-9.62,-24.96,-32.54,-67.12
2026-08-21,7,-42.28,-24.96,-32.54,-99.79
2026-08-28,7,-10.02,-24.96,-32.54,-67.53
2026-09-04,7,10.14,-24.96,-32.54,-47.36
2026-09-11,7,14.65,-24.96,-32.54,-42.85
2026-09-18,7,27.28,-24.96,-32.54,-30.23
2026-09-24,6,41.75,-21.4,-32.54,-12.19
