period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2022-07-08,7,-375.92,-24.96,-32.54,-433.43
2022-07-15,7,235.69,-24.96,-32.54,178.18
2022-07-22,7,183.07,-24.96,-32.54,125.56
2022-07-29,7,195.34,-24.96,-32.54,137.84
2022-08-05,7,114.01,-24.96,-32.54,56.5
2022-08-12,7,207.68,-24.96,-32.54,150.17
2022-08-19,7,3.43,-24.96,-32.54,-54.08
2022-08-26,7,88.24,-24.96,-32.54,30.73
2022-09-02,7,-350.36,-24.96,-32.54,-407.87
2022-09-09,7,-132.69,-24.96,-32.54,-190.19
2022-09-16,7,48.19,-24.96,-32.54,-9.32
2022-09-23,7,-363.43,-24.96,-32.54,-420.93
2022-09-30,7,99.01,-24.96,-32.54,41.51
2022-10-07,7,893.05,-24.96,-32.54,835.55
2022-10-14,7,292.79,-24.96,-32.54,235.28
2022-10-21,7,-347.23,-24.96,-32.54,-404.74
2022-10-28,7,557.08,-24.96,-32.54,499.57
2022-11-04,7,-451.05,-24.96,-32.54,-508.56
2022-11-11,7,-259.58,-24.96,-32.54,-317.08
2022-11-18,7,106.61,-24.96,-32.54,49.1
2022-11-25,7,83.52,-24.96,-32.54,26.02
2022-12-02,7,547.62,-24.96,-32.54,490.11
2022-12-09,7,-166.05,-24.96,-32.54,-223.56
2022-12-16,7,228.12,-24.96,-32.54,170.62
2022-12-23,7,135.59,-24.96,-32.54,78.09
2022-12-30,7,227.62,-24.96,-32.54,170.11
2023-01-06,7,332.53,-24.96,-32.54,275.03
2023-01-13,7,-446.03,-24.96,-32.54,-503.53
2023-01-20,7,253.97,-24.96,-32.54,196.47
2023-01-27,7,-368.69,-24.96,-32.54,-426.19
2023-02-03,7,436.73,-24.96,-32.54,379.23
2023-02-10,7,96.06,-24.96,-32.54,38.55
2023-02-17,7,226.17,-24.96,-32.54,168.66
2023-02-24,7,-79.85,-24.96,-32.54,-137.35
2023-03-03,7,1.6,-24.96,-32.54,-55.9
2023-03-10,7,-285.95,-24.96,-32.54,-343.46
2023-03-17,7,-547.3,-24.96,-32.54,-604.8
2023-03-24,7,8.93,-24.96,-32.54,-48.58
2023-03-31,7,-95.71,-24.96,-32.54,-153.22
2023-04-06,6,15.35,-21.4,-32.54,-38.59
2023-04-14,8,101.77,-28.53,-32.54,40.7
2023-04-21,7,0.25,-24.96,-32.54,-57.25
2023-04-28,7,212.03,-24.96,-32.54,154.52
2023-05-05,7,182.8,-24.96,-32.54,125.29
2023-05-12,7,-35.94,-24.96,-32.54,-93.44
2023-05-19,7,-224.76,-24.96,-32.54,-282.26
2023-05-26,7,47.42,-24.96,-32.54,-10.08
2023-06-02,7,-40.82,-24.96,-32.54,-98.32
2023-06-09,7,98.0,-24.96,-32.54,40.49
2023-06-16,7,-285.83,-24.96,-32.54,-343.34
2023-06-23,7,30.46,-24.96,-32.54,-27.05
2023-06-30,7,89.72,-24.96,-32.54,32.21
2023-07-07,7,-24.45,-24.96,-32.54,-81.95
2023-07-14,7,-205.94,-24.96,-32.54,-263.45
2023-07-21,7,91.78,-24.96,-32.54,34.28
2023-07-28,7,3.13,-24.96,-32.54,-54.37
2023-08-04,7,-149.96,-24.96,-32.54,-207.46
2023-08-11,7,-23.72,-24.96,-32.54,-81.23
2023-08-18,7,-57.72,-24.96,-32.54,-115.22
2023-08-25,7,187.33,-24.96,-32.54,129.83
2023-09-01,7,-269.4,-24.96,-32.54,-326.91
2023-09-08,7,-21.92,-24.96,-32.54,-79.42
2023-09-15,7,107.95,-24.96,-32.54,50.44
2023-09-22,7,-194.39,-24.96,-32.54,-251.9
2023-09-29,7,47.61,-24.96,-32.54,-9.89
2023-10-06,7,134.11,-24.96,-32.54,76.61
2023-10-13,7,46.69,-24.96,-32.54,-10.82
2023-10-20,7,-107.94,-24.96,-32.54,-165.44
2023-10-27,7,83.97,-24.96,-32.54,26.46
2023-11-03,7,-907.92,-24.96,-32.54,-965.42
2023-11-10,7,-92.69,-24.96,-32.54,-150.19
2023-11-17,7,-29.81,-24.96,-32.54,-87.32
2023-11-24,7,-3.69,-24.96,-32.54,-61.2
2023-12-01,7,-35.61,-24.96,-32.54,-93.12
2023-12-08,7,40.7,-24.96,-32.54,-16.8
2023-12-15,7,-263.95,-24.96,-32.54,-321.46
2023-12-22,7,106.91,-24.96,-32.54,49.41
2023-12-29,7,-33.99,-24.96,-32.54,-91.5
2024-01-05,7,-229.46,-24.96,-32.54,-286.96
2024-01-12,7,-162.13,-24.96,-32.54,-219.64
2024-01-19,7,-80.4,-24.96,-32.54,-137.9
2024-01-26,7,-40.83,-24.96,-32.54,-98.34
2024-02-02,7,192.87,-24.96,-32.54,135.36
2024-02-09,7,-52.53,-24.96,-32.54,-110.04
2024-02-16,7,-8.43,-24.96,-32.54,-65.94
2024-02-23,7,233.98,-24.96,-32.54,176.48
2024-03-01,7,-76.64,-24.96,-32.54,-134.14
2024-03-08,7,120.94,-24.96,-32.54,63.43
2024-03-15,7,60.27,-24.96,-32.54,2.77
2024-03-22,7,-226.53,-24.96,-32.54,-284.03
2024-03-28,6,-79.06,-21.4,-32.54,-133.0
2024-04-05,8,91.61,-28.53,-32.54,30.54
2024-04-12,7,168.89,-24.96,-32.54,111.39
2024-04-19,7,-704.88,-24.96,-32.54,-762.38
2024-04-26,7,-241.09,-24.96,-32.54,-298.6
2024-05-03,7,164.07,-24.96,-32.54,106.56
2024-05-10,7,-43.48,-24.96,-32.54,-100.98
2024-05-17,7,-111.25,-24.96,-32.54,-168.76
2024-05-24,7,-32.3,-24.96,-32.54,-89.81
2024-05-31,7,-24.17,-24.96,-32.54,-81.67
2024-06-07,7,-115.41,-24.96,-32.54,-172.92
2024-06-14,7,-311.98,-24.96,-32.54,-369.48
2024-06-21,7,18.11,-24.96,-32.54,-39.39
2024-06-28,7,-27.02,-24.96,-32.54,-84.52
2024-07-05,7,-184.59,-24.96,-32.54,-242.1
2024-07-12,7,126.85,-24.96,-32.54,69.35
2024-07-19,7,-242.97,-24.96,-32.54,-300.48
2024-07-26,7,277.07,-24.96,-32.54,219.57
2024-08-02,7,340.82,-24.96,-32.54,283.32
