period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2025-01-03,7,265.78,-24.96,-32.54,208.27
2025-01-10,7,265.13,-24.96,-32.54,207.63
2025-01-17,7,-406.08,-24.96,-32.54,-463.59
2025-01-24,7,264.74,-24.96,-32.54,207.23
2025-01-31,7,1077.74,-24.96,-32.54,1020.23
2025-02-07,7,363.21,-24.96,-32.54,305.71
2025-02-14,7,-230.01,-24.96,-32.54,-287.51
2025-02-21,7,387.82,-24.96,-32.54,330.32
2025-02-28,7,21.91,-24.96,-32.54,-35.6
2025-03-07,7,1172.5,-24.96,-32.54,1115.0
2025-03-14,7,998.88,-24.96,-32.54,941.38
2025-03-21,7,180.51,-24.96,-32.54,123.01
2025-03-28,7,30.21,-24.96,-32.54,-27.3
2025-04-04,7,-4095.1,-24.96,-32.54,-4152.6
2025-04-11,7,9884.91,-24.96,-32.54,9827.41
2025-04-17,6,-17.65,-21.4,-32.54,-71.59
2025-04-25,8,-1575.38,-28.53,-32.54,-1636.45
2025-05-02,7,199.33,-24.96,-32.54,141.82
2025-05-09,7,-22.68,-24.96,-32.54,-80.18
2025-05-16,7,-917.75,-24.96,-32.54,-975.25
2025-05-23,7,-610.08,-24.96,-32.54,-667.59
2025-05-30,7,385.44,-24.96,-32.54,327.94
2025-06-06,7,-665.08,-24.96,-32.54,-722.58
2025-06-13,7,461.37,-24.96,-32.54,403.86
2025-06-20,7,124.66,-24.96,-32.54,67.15
2025-06-27,7,-616.51,-24.96,-32.54,-674.01
2025-07-03,6,76.64,-21.4,-32.54,22.7
2025-07-11,8,119.29,-28.53,-32.54,58.21
2025-07-18,7,42.77,-24.96,-32.54,-14.73
2025-07-25,7,-176.58,-24.96,-32.54,-234.08
2025-08-01,7,402.16,-24.96,-32.54,344.65
2025-08-08,7,29.98,-24.96,-32.54,-27.53
2025-08-15,7,309.05,-24.96,-32.54,251.54
2025-08-22,7,375.81,-24.96,-32.54,318.31
2025-08-29,7,84.48,-24.96,-32.54,26.98
2025-09-05,7,137.9,-24.96,-32.54,80.4
2025-09-12,7,-302.67,-24.96,-32.54,-360.17
2025-09-19,7,-113.3,-24.96,-32.54,-170.8
2025-09-26,7,-38.32,-24.96,-32.54,-95.82
2025-10-03,7,-220.44,-24.96,-32.54,-277.95
2025-10-10,7,1681.57,-24.96,-32.54,1624.07
2025-10-17,7,19.41,-24.96,-32.54,-38.09
2025-10-24,7,421.87,-24.96,-32.54,364.37
2025-10-31,7,-3.84,-24.96,-32.54,-61.34
2025-11-07,7,588.08,-24.96,-32.54,530.58
2025-11-14,7,654.94,-24.96,-32.54,597.44
2025-11-21,7,-187.33,-24.96,-32.54,-244.83
2025-11-28,7,-1545.6,-24.96,-32.54,-1603.1
2025-12-05,7,-150.9,-24.96,-32.54,-208.4
2025-12-12,7,326.82,-24.96,-32.54,269.31
2025-12-19,7,783.78,-24.96,-32.54,726.28
2025-12-26,7,-118.51,-24.96,-32.54,-176.01
2026-01-02,7,380.49,-24.96,-32.54,322.98
2026-01-09,7,-3.48,-24.96,-32.54,-60.99
2026-01-16,7,-381.77,-24.96,-32.54,-439.28
2026-01-23,7,634.3,-24.96,-32.54,576.79
2026-01-30,7,704.81,-24.96,-32.54,647.31
2026-02-06,7,1673.29,-24.96,-32.54,1615.79
2026-02-13,7,416.22,-24.96,-32.54,358.72
2026-02-20,7,-160.22,-24.96,-32.54,-217.73
2026-02-27,7,382.61,-24.96,-32.54,325.1
2026-03-06,7,-803.17,-24.96,-32.54,-860.68
2026-03-13,7,863.77,-24.96,-32.54,806.27
2026-03-20,7,234.38,-24.96,-32.54,176.87
2026-03-27,7,677.15,-24.96,-32.54,619.64
2026-04-02,6,1124.04,-21.4,-32.54,1070.1
2026-04-10,8,-3493.32,-28.53,-32.54,-3554.39
2026-04-17,7,-1171.66,-24.96,-32.54,-1229.17
2026-04-24,7,-2336.1,-24.96,-32.54,-2393.61
2026-05-01,7,773.83,-24.96,-32.54,716.32
2026-05-08,7,-1259.61,-24.96,-32.54,-1317.11
2026-05-15,7,949.32,-24.96,-32.54,891.81
2026-05-22,7,56.17,-24.96,-32.54,-1.34
2026-05-29,7,126.47,-24.96,-32.54,68.96
2026-06-05,7,3441.13,-24.96,-32.54,3383.63
2026-06-12,7,789.69,-24.96,-32.54,732.19
2026-06-18,6,1609.15,-21.4,-32.54,1555.21
2026-06-26,8,1079.79,-28.53,-32.54,1018.72
2026-07-02,6,3084.86,-21.4,-32.54,3030.93
2026-07-10,8,1163.43,-28.53,-32.54,1102.36
2026-07-17,7,-1587.89,-24.96,-32.54,-1645.4
2026-07-24,7,1648.3,-24.96,-32.54,1590.79
2026-07-31,7,3522.49,-24.96,-32.54,3464.98
2026-08-07,7,65.63,-24.96,-32.54,8.13
2026-08-14,7,302.52,-24.96,-32.54,245.02
2026-08-21,7,11.46,-24.96,-32.54,-46.05
2026-08-28,7,571.02,-24.96,-32.54,513.51
2026-09-04,7,534.39,-24.96,-32.54,476.88
2026-09-11,7,289.37,-24.96,-32.54,231.86
2026-09-18,7,1453.95,-24.96,-32.54,1396.45
2026-09-24,6,-150.98,-21.4,-32.54,-204.92
