day,symbol,m
2025-02-25,CLSK,912
2025-02-25,CSAI,625
2025-02-25,ETHT,652
2025-02-25,RIOT,945
2025-02-25,WGMI,945
2025-02-26,DOMH,593
2025-02-26,VTEX,945
2025-02-27,PLTK,945
2025-02-27,SMCL,945
2025-02-27,TDOC,813
2025-02-27,VTRS,585
2025-03-04,ACON,718
2025-03-04,CLMT,821
2025-03-04,CRNC,588
2025-03-04,IONQ,741
2025-03-04,RDW,724
2025-03-04,UMAC,794
2025-03-06,GRND,945
2025-03-06,IREN,589
2025-03-06,NVDX,582
2025-03-06,VSCO,668
2025-03-07,SERV,583
2025-03-10,CONL,945
2025-03-10,HUT,945
2025-03-10,LUNR,945
2025-03-10,MSTX,945
2025-03-10,MSTY,945
2025-03-10,SOXL,945
2025-03-10,TSLT,945
2025-03-10,WEBL,694
2025-03-10,WOLF,945
2025-03-11,ARVN,945
2025-03-11,ASAN,691
2025-03-11,AVO,945
2025-03-12,TSLZ,632
2025-03-13,MSTY,603
2025-03-13,VNET,619
2025-03-18,QMCO,595
2025-03-18,QUBT,582
2025-03-19,MSTZ,819
2025-03-19,VNET,945
2025-03-21,ADTX,648
2025-03-21,ROBN,581
2025-03-24,MSTZ,945
2025-03-28,ROBN,945
2025-03-31,ALP,586
2025-03-31,APLD,685
2025-03-31,ATON,586
2025-03-31,DYN,869
2025-03-31,IONQ,593
2025-03-31,MSTU,601
2025-03-31,PLTU,601
2025-03-31,QMCO,597
2025-03-31,QURE,945
2025-03-31,RCAT,602
2025-03-31,RCKT,945
2025-03-31,ROBN,594
2025-03-31,TSLR,602
2025-03-31,UMAC,927
2025-03-31,VERA,945
2025-04-03,AAL,945
2025-04-03,AAPU,945
2025-04-03,AEHR,945
2025-04-03,AESI,945
2025-04-03,AIOT,945
2025-04-03,ALMS,620
2025-04-03,AMZU,697
2025-04-03,APA,945
2025-04-03,AROC,945
2025-04-03,BE,945
