day,symbol,m
2026-03-02,CDIO,590
2026-03-02,KOLD,582
2026-03-03,ALM,577
2026-03-03,AMDL,582
2026-03-03,BITU,582
2026-03-03,BULZ,618
2026-03-03,BW,603
2026-03-03,CONL,576
2026-03-03,ETHT,582
2026-03-03,ETHU,582
2026-03-03,HL,582
2026-03-03,HOOG,616
2026-03-03,IONX,620
2026-03-03,IREX,585
2026-03-03,MSTU,582
2026-03-03,NBIL,618
2026-03-03,NVA,590
2026-03-03,NVOX,608
2026-03-03,QBTX,598
2026-03-03,ROBN,618
2026-03-03,SGML,581
2026-03-03,SMCX,581
2026-03-03,STNE,588
2026-03-03,SVIX,583
2026-03-04,BATL,578
2026-03-05,RGTX,591
2026-03-06,CONL,593
2026-03-06,RUM,592
2026-03-09,CRDU,577
2026-03-09,FCEL,576
2026-03-09,LABX,576
2026-03-09,RGTX,611
2026-03-09,SCO,594
2026-03-11,IREZ,577
2026-03-12,IREX,579
2026-03-12,TIC,576
2026-03-13,BATL,588
2026-03-13,HNRG,584
2026-03-13,IREZ,583
2026-03-13,TBCH,619
2026-03-13,UVIX,579
2026-03-16,NBIZ,586
2026-03-16,QBTZ,576
2026-03-18,CING,589
2026-03-18,GEMI,579
2026-03-18,MSTU,614
2026-03-18,NUAI,584
2026-03-19,ARIS,577
2026-03-19,CCUP,578
2026-03-19,CSIQ,583
2026-03-19,EXK,587
2026-03-19,HL,583
2026-03-19,NVA,577
2026-03-19,SCZM,586
2026-03-19,USAS,577
2026-03-20,UMAC,580
2026-03-23,UVIX,582
2026-03-24,RGTX,588
2026-03-25,ANNA,619
2026-03-25,CORD,595
2026-03-25,CRCD,577
2026-03-26,ADMA,577
2026-03-26,CCUP,609
2026-03-26,LUNL,612
2026-03-26,MRLN,583
2026-03-26,SHNY,581
2026-03-26,SMCX,614
2026-03-27,SATL,596
2026-03-31,AIRO,578
2026-03-31,UVIX,594
2026-04-01,IREZ,579
2026-04-02,AMDL,576
2026-04-02,BULZ,577
2026-04-02,CSHR,587
2026-04-02,CWVX,576
2026-04-02,FNGU,576
2026-04-02,MSTX,576
2026-04-02,ROBN,576
2026-04-02,WULF,577
2026-04-06,BMNZ,576
2026-04-07,ETHT,585
2026-04-07,OKLL,576
2026-04-07,SMX,576
2026-04-08,ADVB,614
2026-04-09,APLD,619
2026-04-10,CRCD,633
2026-04-13,ETHT,578
2026-04-13,ETHU,578
2026-04-14,BEZ,586
2026-04-14,BMNZ,584
2026-04-14,IREZ,584
2026-04-15,IONZ,576
2026-04-16,QDEL,576
2026-04-17,BMNZ,576
2026-04-17,MSTZ,576
2026-04-17,RGTZ,576
2026-04-17,SIDU,582
2026-04-20,ASTI,576
2026-04-20,RGTX,589
2026-04-21,SKYQ,586
2026-04-22,ASTN,577
2026-04-22,CORD,577
2026-04-22,CRCD,577
2026-04-22,GLND,576
2026-04-22,QBTZ,580
2026-04-23,OKLS,587
2026-04-23,ORCU,593
2026-04-23,QBTX,601
2026-04-27,VELO,576
2026-04-28,LWLG,634
2026-04-28,NBIL,634
2026-04-28,NVTS,591
2026-04-28,QUIK,623
2026-04-28,SRAD,582
2026-04-29,CORD,577
2026-04-29,HOOG,579
2026-04-29,NTLA,599
2026-04-29,OPTX,576
2026-04-29,ROBN,579
2026-04-29,SOFX,588
2026-04-30,OPCH,576
2026-05-04,TORO,602
2026-05-05,PLTG,593
2026-05-05,PTIR,593
2026-05-05,SOXS,578
2026-05-06,ANGI,579
2026-05-06,CPNG,622
2026-05-06,CRK,636
2026-05-06,KVYO,576
2026-05-06,TDC,580
2026-05-07,CORZ,581
2026-05-07,HPK,576
2026-05-07,SKK,592
2026-05-07,SMU,583
2026-05-07,VNDA,612
2026-05-07,ZSL,612
2026-05-08,CRWU,578
2026-05-08,FIGS,576
2026-05-08,QNST,595
2026-05-08,SNDQ,577
2026-05-08,SOXS,577
2026-05-12,CLSK,627
2026-05-12,CRWU,590
2026-05-12,HIMX,604
2026-05-12,KC,598
2026-05-12,NBIG,629
2026-05-12,NBIL,630
2026-05-12,OKLL,593
2026-05-13,GILT,577
2026-05-13,WRD,588
2026-05-15,AZ,603
2026-05-15,FLNC,580
2026-05-15,HTCO,577
2026-05-15,LWLG,599
2026-05-15,NRGV,584
2026-05-15,POET,592
2026-05-15,RCAX,599
2026-05-15,ROBN,578
2026-05-15,SMU,601
2026-05-15,UMAC,600
2026-05-15,WYFI,599
2026-05-18,CONL,634
2026-05-19,CRWU,586
2026-05-19,CWVX,586
2026-05-19,GLWG,606
2026-05-19,IREX,582
2026-05-19,OKLL,606
2026-05-19,SHMD,610
2026-05-20,IREZ,615
2026-05-26,BMNZ,604
2026-05-26,MUD,580
2026-05-26,SOXS,578
2026-05-27,BRAI,576
2026-05-27,IREZ,592
2026-05-27,MWC,580
2026-05-28,PURR,582
2026-05-28,SIDU,594
2026-05-29,ATPC,627
2026-05-29,CPSH,576
2026-05-29,ECHX,577
2026-05-29,ONDG,576
2026-05-29,ONDU,576
2026-05-29,RDW,605
2026-05-29,SATG,577
2025-01-02,MSTZ,662
2025-01-02,SMST,653
2025-01-03,QBTS,656
2025-01-03,RGTI,900
2025-01-07,CRNC,621
2025-01-07,MSTU,583
2025-01-07,STOK,945
2025-01-08,NNE,945
2025-01-08,OUST,945
2025-01-08,PDYN,860
2025-01-08,SEDG,945
2025-01-08,SMR,900
2025-01-10,NTLA,900
2025-01-13,ARQQ,900
2025-01-13,ETHT,592
2025-01-13,OKLO,945
2025-01-13,RDW,945
2025-01-13,RGTI,900
2025-01-13,SERV,900
2025-01-13,UMAC,945
2025-01-13,WKEY,899
2025-01-14,MSTZ,597
2025-01-14,TSLQ,598
2025-01-15,TSLQ,945
2025-01-15,XTIA,712
2025-01-16,ETHT,664
2025-01-16,ETHU,666
2025-01-17,MSTZ,945
2025-01-22,RDW,945
2025-01-22,WKEY,900
2025-01-23,ALOY,945
2025-01-27,AAOI,945
2025-01-27,AMDL,594
2025-01-27,APLD,945
2025-01-27,BE,945
2025-01-27,BTDR,945
2025-01-27,CORZ,945
2025-01-27,HIMX,945
2025-01-27,HUT,945
2025-01-27,MARA,588
2025-01-27,MIR,945
2025-01-27,NVDX,945
2025-01-27,RIOT,945
2025-01-27,SOXL,945
2025-01-27,VISN,945
2025-01-27,WULF,945
2025-01-30,COUR,945
2025-01-30,GDXD,945
2025-01-30,KRKR,945
2025-02-03,DNA,634
2025-02-03,GRRR,629
2025-02-03,PLTU,627
2025-02-03,RGTI,634
2025-02-03,SMCX,641
