trade_date,symbol,order_status,entry_price,fill_price,shares,pnl,exit_reason,entry_quote_bid,entry_quote_ask,entry_fill_quote_bid,entry_fill_quote_ask,reject_reason,range_high,range_low,elected,window_high,window_low,cap,overshoot_bps
2026-07-02,SVM,closed,10.75,10.72,1046,-269.7634000000012,stop_loss,10.69,10.71,10.73,10.74,,10.717,10.46,1.0,10.85,10.325,10.75,93.02325581395321
2026-07-07,BEZ,closed,12.53,12.53,149,-98.34000000000002,stop_loss,12.49,12.6,12.48,12.57,,12.4899,11.89,1.0,13.3599,11.58,12.53,662.330407023144
2026-07-07,IREZ,closed,8.83,8.8,212,34.97999999999982,lock_stop,8.52,8.53,8.79,8.8,,8.8,8.44,1.0,9.5978,8.47,8.83,869.5356738391835
2026-07-08,PLTZ,closed,28.99,28.99,476,-497.4199999999991,stop_loss,29.04,29.07,29.07,29.12,,28.9,27.935,1.0,29.5898,28.6728,28.99,206.8989306657465
2026-07-09,AAOX,closed,20.69,20.69,1001,448.84839999999946,tag_bb,20.6,20.67,20.9,21.04,,20.6305,19.65,1.0,22.3,19.3501,20.69,778.1536974383752
2026-07-09,CCXI,time_stop_canceled,16.45,,113,,,,,,,,16.4,16.0,0.0,16.34,15.72,16.45,-66.86930091185373
2026-07-09,PLTZ,closed,30.19,30.19,457,86.82999999999896,tag_bb,29.63,29.68,30.05,30.09,,30.1,29.1109,1.0,30.48,28.98,30.19,96.05829744948613
2026-07-10,CRCA,closed,16.38,16.38,171,-192.97007999999994,stop_loss,16.38,16.44,16.22,16.3,,16.3299,15.27,1.0,16.66,13.94,16.38,170.94017094017255
2026-07-13,SKYQ,closed,3.78,3.78,1983,39.66000000000003,lock_stop,3.85,3.86,3.83,3.85,,3.77,3.68,1.0,4.34,3.72,3.78,1481.4814814814813
2026-07-13,TTDU,time_stop_canceled,3.4,,1102,,,,,,,,3.39,3.2918,0.0,3.38,3.26,3.4,-58.8235294117645
2026-07-14,IONL,closed,14.94,14.9289,250,-169.67500000000024,stop_loss,14.57,14.63,14.77,14.84,,14.9,14.2919,1.0,15.09,13.8878,14.94,100.40160642570406
2026-07-14,RGTX,closed,12.04,12.04,311,-105.73999999999995,stop_loss,11.87,11.94,12.0,12.02,,12.0,11.72,1.0,12.33,11.62,12.04,240.86378737541602
2026-07-14,RKLX,closed,26.8,26.69,139,-66.72000000000006,force_close,26.59,26.68,26.63,26.69,,26.72,25.71,1.0,28.2,26.18,26.8,522.3880597014929
2026-07-15,SKHZ,closed,11.95,11.905,313,6.260000000000423,force_close,11.81,11.85,11.92,11.94,,11.915,11.57,1.0,12.03,11.2636,11.95,66.94560669456173
2026-07-16,BEZ,closed,18.58,18.55,565,-99.38350000000122,tag_bb,18.07,18.17,18.38,18.54,,18.52,17.57,1.0,19.1406,17.74,18.58,301.722282023682
2026-07-16,CRCD,closed,6.69,6.69,1569,-78.29310000000008,tag_bb,6.56,6.58,6.63,6.66,,6.67,6.19,1.0,6.75,6.45,6.69,89.68609865470879
2026-07-16,SKHZ,closed,12.75,12.7094,823,436.7660999999996,force_close,12.64,12.67,12.68,12.71,,12.71,12.45,1.0,12.93,12.5,12.75,141.17647058823567
2026-07-17,CORD,closed,9.97,9.97,752,-360.9600000000003,stop_loss,9.99,10.0,10.0,10.01,,9.9393,9.51,1.0,10.15,8.86,9.97,180.5416248746239
2026-07-17,NBIZ,time_stop_canceled,15.12,,496,,,,,,,,15.0699,14.56,1.0,15.109,12.21,15.12,-7.275132275131879
2026-07-20,MUU,closed,30.34,30.3,247,4.939999999999895,tag_bb,30.29,30.31,30.17,30.22,,30.25,29.13,1.0,30.45,28.35,30.34,36.25576796308483
2026-07-20,SNDU,closed,23.85,23.85,314,-69.08000000000075,tag_bb,23.92,23.96,23.69,23.78,,23.7775,22.3612,1.0,23.99,21.87,23.85,58.70020964360512
2026-07-21,AIBZ,closed,6.85,6.83951,1094,219.44546000000005,force_close,6.7,6.8,6.81,6.84,,6.83,6.63,1.0,7.155,6.7,6.85,445.25547445255495
2026-07-21,CRWU,closed,3.38,3.38,2218,360.64680000000067,force_close,3.29,3.3,3.38,3.39,,3.3699,3.23,1.0,3.48,3.275,3.38,295.8579881656798
2026-07-21,MUU,closed,33.04,33.04,227,-224.73000000000044,stop_loss,33.05,33.1,33.01,33.04,,32.9395,32.03,1.0,34.2,31.6,33.04,351.0895883777243
2026-07-22,CRCD,time_stop_canceled,5.28,,1421,,,,,,,,5.26,5.13,0.0,5.24,4.98,5.28,-75.7575757575757
2026-07-27,CWVX,closed,13.39,13.36,560,-312.81600000000014,stop_loss,13.2,13.28,13.43,13.54,,13.35,12.84,1.0,13.655,12.06,13.39,197.90888722927446
2026-07-27,RGTX,closed,11.06,11.06,677,-568.68,stop_loss,11.07,11.11,11.09,11.12,,11.03,10.2342,1.0,11.75,10.61,11.06,623.8698010849907
2026-07-29,ALMU,time_stop_canceled,15.73,,476,,,,,,,,15.6781,15.2056,0.0,15.4996,14.3536,15.73,-146.4717101080748
2026-07-30,IREX,time_stop_canceled,10.97,,683,,,,,,,,10.94,10.06,1.0,13.02,10.9445,10.97,1868.7329079307192
2026-07-30,SMCX,closed,6.92,6.9,1083,86.74829999999983,lock_stop,6.79,6.8,6.98,6.99,,6.9,6.715,1.0,7.36,6.705,6.92,635.8381502890187
2026-07-31,BIYA,closed,4.1,4.1,1828,-511.83999999999963,stop_loss,3.93,4.04,4.19,4.23,,4.09,3.82,1.0,4.4785,3.9,4.1,923.170731707319
2026-08-03,BIOA,closed,9.74,9.733182,770,-87.0731399999989,tag_bb,9.52,9.6,9.52,9.74,,9.71,9.3,1.0,9.97,9.18,9.74,236.1396303901442
2026-08-11,IREG,closed,8.18,8.12,916,-200.97039999999942,stop_loss,7.98,8.04,8.07,8.11,,8.155,7.89,1.0,8.36,7.89,8.18,220.04889975550057
2026-08-11,IREX,closed,14.51,14.506957,516,-271.85821199999987,stop_loss,14.19,14.25,14.45,14.5,,14.4681,13.99,1.0,14.83,13.9801,14.51,220.53756030324
2026-08-12,UMAC,closed,27.56,27.55989,272,-138.69007999999963,tag_bb,27.2,27.38,27.19,27.35,,27.48,26.02,1.0,28.2799,26.88,27.56,261.21190130624194
2026-08-25,SMCX,closed,11.95,11.9167,279,164.13570000000007,force_close,11.91,11.93,11.96,11.98,,11.91,11.35,1.0,12.666,11.87,11.95,599.1631799163199
2026-08-27,IREG,closed,8.15,8.1298,408,-50.755199999999846,force_close,8.03,8.06,8.1,8.14,,8.1298,7.9,1.0,8.26,7.99,8.15,134.96932515337346
2026-08-31,SHMD,time_stop_canceled,3.37,,990,,,,,,,,3.355,3.19,0.0,3.34,3.14,3.37,-89.02077151335396
