symbol,ts,open,high,low,close,volume,trade_count,vwap
ANET,2026-09-15 17:20:00+00:00,191.175,191.2,191.12,191.12,2660.0,123.0,191.171364
AXON,2026-09-15 17:15:00+00:00,438.68,438.83,437.94,437.94,6388.0,201.0,438.484501
AXON,2026-09-15 17:16:00+00:00,437.88,437.99,436.8,437.41,15169.0,407.0,437.417109
AXON,2026-09-15 17:17:00+00:00,437.325,438.4,437.28,437.58,5531.0,180.0,437.694044
AXON,2026-09-15 17:18:00+00:00,437.0,437.0,436.675,437.0,1033.0,86.0,436.958965
AXON,2026-09-15 17:19:00+00:00,436.63,436.6779,436.44,436.48,2200.0,94.0,436.572005
AXON,2026-09-15 17:20:00+00:00,436.37,436.45,436.01,436.415,6955.0,199.0,436.345894
AMSC,2026-09-15 17:15:00+00:00,27.63,27.63,27.63,27.63,258.0,8.0,27.63
AMSC,2026-09-15 17:16:00+00:00,27.66,27.66,27.66,27.66,1030.0,14.0,27.66
AMSC,2026-09-15 17:18:00+00:00,27.63,27.63,27.63,27.63,291.0,16.0,27.63
AMSC,2026-09-15 17:19:00+00:00,27.65,27.69,27.65,27.69,1415.0,62.0,27.676667
AMSC,2026-09-15 17:20:00+00:00,27.655,27.655,27.655,27.655,156.0,11.0,27.655
APOG,2026-09-15 17:20:00+00:00,37.07,37.12,37.07,37.12,1458.0,106.0,37.102
ABNB,2026-09-15 17:15:00+00:00,168.08,168.15,168.08,168.08,1703.0,55.0,168.116667
ABNB,2026-09-15 17:16:00+00:00,168.085,168.14,168.085,168.085,1087.0,55.0,168.10444
ABNB,2026-09-15 17:17:00+00:00,168.06,168.08,168.06,168.08,862.0,44.0,168.07
ABNB,2026-09-15 17:18:00+00:00,168.0952,168.0952,168.065,168.065,1610.0,66.0,168.072043
ABNB,2026-09-15 17:19:00+00:00,168.08,168.12,168.08,168.09,1486.0,61.0,168.101429
ABNB,2026-09-15 17:20:00+00:00,168.09,168.09,168.09,168.09,880.0,46.0,168.09
ACA,2026-09-15 17:15:00+00:00,145.16,145.16,145.16,145.16,194.0,16.0,145.16
ACA,2026-09-15 17:17:00+00:00,145.155,145.16,145.155,145.16,1109.0,43.0,145.157742
ACA,2026-09-15 17:18:00+00:00,145.18,145.18,145.18,145.18,213.0,14.0,145.18
ACA,2026-09-15 17:20:00+00:00,145.19,145.19,145.19,145.19,476.0,26.0,145.19
AEP,2026-09-15 17:15:00+00:00,120.845,120.86,120.84,120.845,3765.0,105.0,120.85005
AEP,2026-09-15 17:16:00+00:00,120.845,120.86,120.81,120.81,4555.0,115.0,120.835417
AEP,2026-09-15 17:17:00+00:00,120.82,120.84,120.76,120.79,8496.0,194.0,120.791051
AEP,2026-09-15 17:18:00+00:00,120.775,120.82,120.77,120.8101,6777.0,119.0,120.794617
AEP,2026-09-15 17:19:00+00:00,120.81,120.81,120.74,120.76,8283.0,111.0,120.764914
AEP,2026-09-15 17:20:00+00:00,120.75,120.75,120.65,120.65,7072.0,144.0,120.694964
AMGN,2026-09-15 17:15:00+00:00,379.05,379.09,378.93,378.93,1891.0,98.0,379.02492
AMGN,2026-09-15 17:16:00+00:00,378.94,378.99,378.84,378.89,1249.0,63.0,378.91523
AMGN,2026-09-15 17:17:00+00:00,378.835,378.9,378.55,378.59,2717.0,139.0,378.716231
AMGN,2026-09-15 17:18:00+00:00,378.56,378.56,378.3,378.37,1407.0,79.0,378.416986
AMGN,2026-09-15 17:19:00+00:00,378.355,378.355,378.185,378.195,1190.0,69.0,378.252853
AMGN,2026-09-15 17:20:00+00:00,378.27,378.55,378.26,378.47,7298.0,223.0,378.395994
