symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
TMCR,2026-04-09,09:57:00,11.56,11.21,12.29,11538,10:07:00,12.29,partial+target,7788.46,4.67,True,11.91,9000,3150.0,35.68,588449,0.43,-14.07,False,,2,7.47,0.93,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.93,0.0,0.0,21.21,0.547,0.93,
TTGT,2026-05-08,09:56:00,5.7,5.58,5.92,18000,10:00:00,5.92,partial+target,3825.0,2.98,True,5.82,9000,1080.0,24.47,565049,-2.52,-7.11,False,,2,5.64,-1.97,2.3,1.8,0.3,0.3,0.0,-0.5,0.2,2.3,0.766,0.0,0.0,20.75,0.687,0.766,
WATT,2026-05-14,09:42:00,25.86,25.08,27.48,7733,09:47:00,25.0,stop,-8266.97,-3.31,False,,0,0.0,29.23,513001,7.33,1.23,False,,3,12.07,7.62,1.8,2.0,0.0,0.3,0.3,0.0,0.0,1.8,0.898,0.2,0.0,15.82,1.09,0.898,
TRT,2026-05-15,10:45:00,18.47,17.82,19.87,6440,11:21:00,19.87,partial+target,8251.25,5.55,True,19.12,3220,2093.0,47.14,2740118,11.9,6.28,False,,3,6.95,12.1,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.969,0.2,0.0,28.89,1.8,0.969,
MLGO,2026-05-20,10:15:00,4.6,4.4,5.06,12159,12:17:00,5.06,partial+target,5015.75,7.17,True,4.8,6079,1215.8,81.27,607952,8.33,-1.04,False,,2,6.4,8.49,2.4,1.0,0.3,-0.3,0.0,0.0,0.2,2.4,0.892,0.2,0.0,20.84,2.054,0.892,
RYOJ,2026-05-26,10:16:00,3.73,3.55,4.1,18000,10:42:00,4.1,partial+target,6187.5,7.37,True,3.91,9000,1620.0,31.21,2660207,-2.96,-17.6,False,,2,8.74,-1.95,2.3,1.8,0.3,-0.3,0.3,0.0,0.0,2.3,0.917,0.0,0.0,29.32,6.338,0.917,
AKTX,2026-05-27,10:14:00,15.96,15.17,17.54,6328,11:14:00,15.91,partial+breakeven,2935.5,2.32,True,16.75,5696,4499.84,23.93,2168212,-3.76,-6.51,False,,2,5.45,-2.77,2.0,1.8,0.3,-0.3,0.3,-0.5,0.2,2.0,0.722,0.0,0.0,23.93,0.566,0.722,
LESL,2026-06-09,10:05:00,6.77,6.58,7.17,21000,10:19:00,6.56,stop,-5505.68,-3.1,False,,0,0.0,62.48,2755669,10.28,1.75,False,,3,6.11,10.61,2.1,1.0,0.3,0.0,0.3,0.3,0.0,2.1,1.41,0.2,0.0,33.69,1.346,1.41,
HTCO,2026-06-10,10:18:00,4.41,4.22,4.75,18000,10:40:00,4.21,stop,-4559.85,-4.6,False,,0,0.0,25.93,1432757,-5.6,3.13,False,,3,4.65,-4.16,1.8,1.8,0.3,-0.3,0.3,0.3,0.2,1.8,2.228,0.0,0.0,25.93,5.696,2.228,
OCC,2026-06-10,09:44:00,25.51,24.43,27.89,5252,09:45:00,24.36,stop,-7571.35,-4.52,False,,0,0.0,31.33,1418896,6.66,-0.05,False,,3,9.82,6.87,2.5,1.0,0.0,0.0,0.0,0.3,0.0,2.5,2.228,0.2,0.0,21.2,2.056,2.228,
INDP,2026-06-11,10:25:00,3.24,3.12,3.37,30000,10:42:00,3.37,partial+target,4687.5,3.86,True,3.36,15000,1800.0,56.37,2664475,3.09,-0.82,False,,3,6.67,4.74,3.0,1.0,0.3,0.3,0.3,0.3,0.0,3.4,2.044,0.2,0.0,41.15,6.915,2.044,
CRE,2026-06-12,10:23:00,3.17,3.04,3.43,20000,10:32:00,3.43,partial+target,4875.0,6.15,True,3.3,10000,1300.0,29.01,504064,2.29,0.91,False,,2,11.25,2.76,2.1,2.0,0.0,0.3,0.3,0.3,0.0,2.1,2.439,0.2,0.0,16.18,0.207,2.439,
ASBP,2026-06-16,09:57:00,6.14,5.87,6.75,20000,10:09:00,6.12,partial+breakeven,3144.75,2.05,True,6.41,10000,2700.0,26.74,1056507,6.14,-6.02,False,,3,6.91,4.01,2.0,2.0,0.3,-0.3,0.3,0.3,0.2,2.0,1.362,0.2,0.0,15.07,6.795,1.362,
RBNE,2026-07-16,10:39:00,4.8,4.69,5.04,13960,10:49:00,4.68,stop,-2165.03,-2.58,False,,0,0.0,45.83,387808,2.48,-1.14,False,,2,6.22,2.92,2.0,1.8,0.3,0.0,0.0,-0.5,0.0,2.0,0.711,0.2,0.0,21.53,0.867,0.711,
SRZN,2026-08-07,10:29:00,26.01,25.21,27.68,5344,10:33:00,25.93,partial+breakeven,2411.38,1.39,True,26.81,2672,2137.6,22.51,267203,4.96,14.79,False,,2,5.59,4.73,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,1.072,0.2,0.0,22.51,4.039,1.072,
TJGC,2026-08-18,10:22:00,4.97,4.75,5.47,22000,10:23:00,4.74,stop,-6441.88,-4.71,False,,0,0.0,41.09,1223937,14.97,-2.74,False,,2,14.12,14.99,2.2,1.0,0.0,0.0,0.3,-0.5,0.2,2.2,0.555,0.2,0.0,35.52,2.779,0.555,
RDAC,2026-08-24,10:18:00,5.98,5.88,6.15,18000,10:21:00,5.96,partial+breakeven,923.17,0.69,True,6.08,9000,900.0,29.16,901995,2.22,-8.35,False,,2,17.86,2.72,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.617,0.2,0.0,22.7,1.106,0.617,
