Index,day,symbol,entry_m,filled,exit_m,why,rr,r_pct,rv_profile,rv_clock,price,adv20,is_wrapper,dist_open_pct,split,wk
11747,2025-10-24,LNAI,711,1,955.0,eod,-0.3042113523410884,3.439093943128558,1.5568996821545638,1.873601899396187,1.11163,231586.5,0.0,6.56874999999999,TRAIN,2025-10-18/2025-10-24
11784,2025-10-27,ATOM,576,1,732.0,stop,-1.0267179902755257,3.607765173663904,2.7246062429785822,0.9045131120368552,3.4204000000000003,780282.45,0.0,5.906832298136622,TRAIN,2025-10-25/2025-10-31
11810,2025-10-27,MCRP,577,1,956.0,eod,0.1783439490445855,4.256280498825223,4.412013384447638,2.248585891606486,2.2132,635079.35,0.0,7.116504854368921,TRAIN,2025-10-25/2025-10-31
11827,2025-10-27,ZURA,577,1,613.0,stop,-1.031451612903224,3.081510934393641,1.2287595925920642,0.5835775747564579,4.024,4290222.55,0.0,6.137566137566131,TRAIN,2025-10-25/2025-10-31
11818,2025-10-27,SHMD,582,1,955.0,eod,0.8648984666390371,4.213364730063791,1.4231748893685736,,4.00891,575134.7,0.0,8.908855585831056,TRAIN,2025-10-25/2025-10-31
11826,2025-10-27,ZEPP,613,1,682.0,stop,-1.1435979872881332,1.6984068440038549,2.7178891840249357,4.873336386061832,44.4652,249456.45,0.0,5.203132415757006,TRAIN,2025-10-25/2025-10-31
11781,2025-10-27,ANNX,685,1,707.0,stop,-1.084818159628993,1.1652545385768538,1.8309519603503217,6.413451736723398,3.5159700000000007,1973950.05,0.0,7.530214723926387,TRAIN,2025-10-25/2025-10-31
11790,2025-10-27,CHOW,733,1,790.0,target,2.0,1.4800088358736507,2.167545962510011,1.7920706731316929,9.054,436655.95,0.0,12.276119402985074,TRAIN,2025-10-25/2025-10-31
11882,2025-10-28,TV,576,1,955.0,eod,0.8520528124434786,4.179485822706352,3.343487760907603,5.173810843350463,2.6457800000000002,1999072.55,0.0,5.515599999999976,TRAIN,2025-10-25/2025-10-31
11890,2025-10-28,WWR,581,1,601.0,target,2.0,1.9581143277322448,1.625370029234482,0.4316768840247044,1.46876,15399860.8,0.0,5.35107913669064,TRAIN,2025-10-25/2025-10-31
11866,2025-10-28,NEOV,583,1,888.0,stop,-1.0310301321062785,3.122060179714272,3.305662936012987,1.864812226646523,4.315740000000001,369705.65,0.0,6.243703703703707,TRAIN,2025-10-25/2025-10-31
11831,2025-10-28,ALTS,585,1,592.0,stop,-1.037573144441022,2.5924772649245265,3.386685271304619,1.7037332631897042,2.5049400000000004,6799166.85,0.0,9.538157894736845,TRAIN,2025-10-25/2025-10-31
11854,2025-10-28,HYMC,597,1,615.0,target,2.0,2.976299579929679,2.600738200731528,1.3983756133354897,7.3281064,1797957.8,0.0,7.1298123167155225,TRAIN,2025-10-25/2025-10-31
11834,2025-10-28,ASPI,610,1,651.0,target,2.0,2.4527245703670566,1.403295018367835,1.0090333676146808,10.671748600000003,10906721.85,0.0,5.975341633466136,TRAIN,2025-10-25/2025-10-31
11868,2025-10-28,OKLL,619,1,626.0,stop,-1.0497415642104515,1.9707709361352446,2.448071300694331,1.2661720924177264,86.58641999999999,2473748.2,1.0,7.093673241533294,TRAIN,2025-10-25/2025-10-31
11836,2025-10-28,BYND,639,1,672.0,target,2.0,3.8029885204899574,1.5995178739454896,1.7486213644099158,2.18302,427266799.25,0.0,13.3598958333333,TRAIN,2025-10-25/2025-10-31
11897,2025-10-29,AREC,591,1,604.0,stop,-1.038955386289444,2.502791470355955,1.7097489813155355,0.6944234561921303,3.6719000000000004,13647773.95,0.0,7.992625368731554,TRAIN,2025-10-25/2025-10-31
11912,2025-10-29,FLNC,592,1,608.0,stop,-1.041812997903566,2.3357392590271364,3.774998271384277,1.841939318779285,20.421800000000005,9046288.25,0.0,7.72962962962962,TRAIN,2025-10-25/2025-10-31
11893,2025-10-29,AHMA,610,1,613.0,target,2.0,3.2803180914512926,2.447666956316119,,5.03,430183.2,0.0,7.618025751072954,TRAIN,2025-10-25/2025-10-31
11930,2025-10-29,NEGG,611,1,614.0,target,2.0,2.4034728814780006,1.8429330461414417,3.8410589230150327,67.29747660000001,1043391.35,0.0,7.647662923150977,TRAIN,2025-10-25/2025-10-31
11906,2025-10-29,CRDU,679,1,728.0,stop,-1.1859845974995737,2.0723255487546997,1.1890562050738456,0.9078529514186664,24.324074,327609.05,1.0,6.600162637362628,TRAIN,2025-10-25/2025-10-31
11926,2025-10-29,MCTA,739,1,842.0,target,2.0,3.889165009940354,1.127069254085302,1.1955041989603925,16.096,582666.8,0.0,13.253352152434704,TRAIN,2025-10-25/2025-10-31
12013,2025-10-30,TT,577,1,955.0,eod,0.19969362608159755,4.442285816605745,3.9932604397422335,4.178671788852131,443.2033600000001,1162063.1,0.0,5.05983832620065,TRAIN,2025-10-25/2025-10-31
11960,2025-10-30,BQ,581,1,585.0,target,2.0,3.4334798241258255,1.5272080432625226,3.860565414366823,9.386483,946370.65,0.0,20.28909383033417,TRAIN,2025-10-25/2025-10-31
12007,2025-10-30,ROCK,581,1,593.0,stop,-1.0276429703694676,3.4912580193357905,4.45098742835822,229.0075335735341,70.4703,387803.85,0.0,7.744441036650818,TRAIN,2025-10-25/2025-10-31
11963,2025-10-30,CHOW,592,1,618.0,stop,-1.1704090267983103,3.278006380322713,1.2944257565232151,1.2124426155257282,10.8145,403261.45,0.0,6.12450787401575,TRAIN,2025-10-25/2025-10-31
11999,2025-10-30,OKLL,594,1,720.0,stop,-1.026532358812544,3.632089814056837,3.463389637624644,1.6226768235597688,85.51,2458830.35,1.0,7.104271356783931,TRAIN,2025-10-25/2025-10-31
12005,2025-10-30,RGTU,594,1,643.0,target,2.0,2.893424589211955,3.5195554580384067,,68.306394,150071.5,1.0,7.062878478226686,TRAIN,2025-10-25/2025-10-31
12042,2025-10-31,DPRO,576,1,618.0,target,2.0,3.970780710343338,1.7962918124044067,0.5993395732492626,10.07006,5558619.85,0.0,5.351836306400837,TRAIN,2025-10-25/2025-10-31
12079,2025-10-31,WOLF,585,1,604.0,stop,-1.053661340839706,1.8294465240661293,1.0381282363683566,0.3724208029325913,27.574460000000006,3893587.1,0.0,5.739346153846148,TRAIN,2025-10-25/2025-10-31
12033,2025-10-31,BCDA,587,1,956.0,eod,0.2725590004627397,3.1359289518364446,4.138002784375634,0.4237184025227604,1.3782200000000002,227057.85,0.0,5.700769230769232,TRAIN,2025-10-25/2025-10-31
12076,2025-10-31,TNYA,587,1,603.0,target,2.0,2.072748967794839,2.3561295959058026,1.1770241951288756,1.3479394,5075487.65,0.0,8.380620967741947,TRAIN,2025-10-25/2025-10-31
12061,2025-10-31,OSIS,605,1,695.0,target,2.0,1.9092707748705369,1.8835220263351165,1.558164354322305,268.11912000000007,121063.6,0.0,6.2900834990059495,TRAIN,2025-10-25/2025-10-31
12066,2025-10-31,QS,606,1,678.0,target,2.0,3.691594508776723,1.943135665375478,1.538997573285762,16.981279999999998,52241341.8,0.0,5.290049751243764,TRAIN,2025-10-25/2025-10-31
12067,2025-10-31,QSU,642,1,659.0,target,2.0,1.9899295813901468,1.8937450661868585,1.211313005495754,21.528399999999998,347211.5714285714,1.0,13.567195767195738,TRAIN,2025-10-25/2025-10-31
12041,2025-10-31,DMRC,686,1,955.0,eod,1.3744569939183287,3.710708720649078,2.4522711592759285,26.176553491351697,9.3055,154837.3,0.0,6.031428571428554,TRAIN,2025-10-25/2025-10-31
12098,2025-11-03,IONZ,579,1,618.0,target,2.0,4.057548857274192,1.3830589800895707,0.9040629087597688,3.61154,70700788.0,1.0,6.060972017673039,TRAIN,2025-11-01/2025-11-07
12106,2025-11-03,QBTZ,583,1,613.0,target,2.0,3.4213899551183182,4.931690429767935,2.915832969378235,11.32756,5009554.833333333,1.0,11.049950835791522,TRAIN,2025-11-01/2025-11-07
