n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,h1,h2,vgross,half_ok,note
626,11.81132075471698,-0.014620565637549758,-0.014620565637549758,0.05177820986966856,-0.39662624197629925,47.16981132075472,5.660377358490567,5,-1147.276085833078,909.2760253908177,-915.2474089106151,-3737.3860436409605,-17.268819036049344,41.66666666666667,-0.0680204605185581,99.36102236421725,F1d fb/h10/t1 SPYdn,TRAIN,-0.34088002891607977,0.0663987755072183,0.0926162156142397,0.01584567028060145,-0.031258719090393836,False,
314,13.652173913043478,-0.09744724613772905,-0.09744724613772905,-0.031258719090393836,-1.926619167661929,34.78260869565217,4.3478260869565215,5,-873.0188662585099,619.6805528925073,-3059.843528724692,-3950.9454484425974,-133.03667516194312,20.0,-0.1550371896721313,98.40764331210191,F1d fb/h10/t1 SPYdn,VAL,-1.7936946427656206,0.06618852704733522,0.0926162156142397,0.01584567028060145,-0.031258719090393836,False,
563,10.622641509433961,-0.06417682996257816,-0.06417682996257816,0.009020882094642454,-1.3623359317634693,45.28301886792453,5.660377358490567,5,-1637.5666991896996,479.8450380030756,-3613.1555268931515,-4549.035221973898,-68.17274579043682,50.0,-0.1744167400154604,99.28952042628775,F1d fb/h10/t2 SPYdn,TRAIN,-1.2529558219990837,0.07319771205722064,0.039083153613616854,-0.018485073818976946,-0.0029370610413494667,False,
271,11.782608695652174,-0.0737760952315228,-0.0737760952315228,-0.0029370610413494667,-1.155951920001297,39.130434782608695,4.3478260869565215,6,-845.4094763953043,797.7895224732898,-1999.3321807742677,-3736.54518861886,-86.92748612062033,20.0,-0.18486076441899799,98.1549815498155,F1d fb/h10/t2 SPYdn,VAL,-1.0515034696372865,0.07083903419017332,0.039083153613616854,-0.018485073818976946,-0.0029370610413494667,False,
654,12.339622641509434,-0.05229120450450339,-0.05229120450450339,0.01207400930645475,-1.6220286954596363,49.056603773584904,5.660377358490567,6,-1008.6379418121826,545.9075212102604,-3419.8447745945205,-5035.21651994815,-64.525373105557,33.33333333333333,-0.11023967901001183,99.38837920489296,F1d fb/h10/tls SPYdn,TRAIN,-1.4067091408059735,0.06436521381095814,0.07580768695320836,-0.04431284670954914,-0.04079033767220126,False,
351,15.26086956521739,-0.1050508551959715,-0.1050508551959715,-0.04079033767220126,-2.375240482612081,43.47826086956522,4.3478260869565215,5,-1197.3412669847103,437.7414453881237,-3687.2850173786,-4311.110314884297,-160.31673988602608,20.0,-0.16809091216990818,98.57549857549857,F1d fb/h10/tls SPYdn,VAL,-2.0581718875310315,0.06426051752377027,0.07580768695320836,-0.04431284670954914,-0.04079033767220126,False,
220,4.150943396226415,-0.08549405559112519,-0.08549405559112519,-0.017308513924321842,-1.509736166336761,37.735849056603776,9.433962264150944,6,-439.335842437531,604.2367687711252,-1880.8692230047543,-1922.5999427689433,-35.48809854725952,25.0,-0.1407378790530334,99.54545454545455,F1c-bor fb/mfe/t1,TRAIN,-1.2537333545324472,0.06818554166680336,0.024110802690261328,-0.05444307364774124,-0.14128335851366555,False,
132,5.739130434782608,-0.21073079115579157,-0.21073079115579157,-0.14128335851366555,-2.9476209905904067,17.391304347826086,8.695652173913043,6,-613.3807916721934,220.69413089024602,-2781.646443256449,-2781.646443256449,-120.94114970680212,20.0,-0.2768562923935915,100.0,F1c-bor fb/mfe/t1,VAL,-2.98776873935164,0.06944743264212605,0.024110802690261328,-0.05444307364774124,-0.14128335851366555,False,
216,4.0754716981132075,-0.05970722154283498,-0.05970722154283498,0.013406676879348633,-0.8586144593211933,39.62264150943396,9.433962264150944,5,-439.335842437531,578.7877329671953,-1289.6759853252358,-1325.538384678863,-24.33350915707992,41.66666666666667,-0.1677691309488401,99.53703703703704,F1c-bor fb/mfe/t2,TRAIN,-0.7437386209200563,0.07311389842218363,0.05255177859458833,-0.020339100461375235,-0.15116141961885596,False,
132,5.739130434782608,-0.22495468978326133,-0.22495468978326133,-0.15116141961885596,-2.6362982476927197,26.08695652173913,8.695652173913043,5,-613.3807916721934,358.0336979395093,-2969.401905139049,-2977.350410321117,-129.10443065821954,20.0,-0.34668349735005116,100.0,F1c-bor fb/mfe/t2,VAL,-2.5979693220524407,0.0737932701644054,0.05255177859458833,-0.020339100461375235,-0.15116141961885596,False,
217,4.09433962264151,-0.08491565627556177,-0.08491565627556177,-0.017761792265584716,-1.4825408991188183,33.9622641509434,9.433962264150944,6,-476.4126374424924,468.0697407553006,-1842.669741179691,-1904.1429090677918,-34.76735360716398,33.33333333333333,-0.17741099940657154,99.53917050691244,F1c-bor fb/mfe/tls,TRAIN,-1.199971609803271,0.0671538640099771,0.07118192729099042,-0.0937820653908626,-0.13099753369669412,False,
133,5.782608695652174,-0.19696246478371376,-0.19696246478371376,-0.13099753369669412,-2.6823325972404555,21.73913043478261,8.695652173913043,6,-613.3807916721934,225.8278657687085,-2619.6007816233923,-2619.600781623393,-113.89568615753879,0.0,-0.2925108318079542,100.0,F1c-bor fb/mfe/tls,VAL,-2.6520244242183693,0.06596493108701959,0.07118192729099042,-0.0937820653908626,-0.13099753369669412,False,
