day,symbol,m,sp_mean,sp_med,mid_med,bid_med,bid_max,n_q,err
2025-11-03,IDXX,828,1.5808536585365853,1.330000000000041,731.63,731.2,732.01,82,
2025-11-04,LDOS,733,0.46560000000000057,0.46999999999999886,205.44,205.21,205.21,25,
2025-11-05,ACMR,602,0.17643678160919443,0.15000000000000568,32.42,32.28,32.5,87,
2025-11-05,CAVA,711,0.12700000000000056,0.14000000000000057,52.055,51.98,52.06,60,
2025-11-05,CAVA,713,0.0858878504672893,0.09000000000000341,52.18,52.13,52.2,107,
2025-11-05,CSTL,750,0.2231818181818188,0.25,33.8,33.68,33.91,66,
2025-11-05,IBP,742,2.2819819819819824,2.3500000000000227,258.225,256.48,257.81,111,
2025-11-05,SKY,955,0.08904109589041193,0.09000000000000341,73.5,73.46,73.53,73,
2025-11-05,SSRM,601,0.020529986052998668,0.019999999999999574,19.47,19.46,19.54,717,
2025-11-05,SSRM,637,0.016114649681528377,0.010000000000001563,19.89,19.88,19.9,157,
2025-11-06,FTNT,606,0.09339035769828845,0.09000000000000341,79.565,79.51,79.77,643,
2025-11-06,FTNT,608,0.05913548387096776,0.04999999999999716,79.87,79.83,79.98,775,
2025-11-06,FTNT,862,0.04883895131085969,0.04999999999999716,81.02000000000001,80.99,81.09,267,
2025-11-06,FTNT,873,0.042164948453606015,0.04000000000000625,81.20750000000001,81.18,81.26,194,
2025-11-06,FTNT,874,0.04638888888888775,0.04999999999999716,81.375,81.36,81.43,216,
2025-11-06,FTNT,879,0.036944444444441636,0.03999999999999204,81.56,81.55,81.58,252,
2025-11-07,CNH,605,0.01000000000000031,0.009999999999999787,9.555,9.55,9.58,1094,
2025-11-07,CNH,606,0.010009000900089944,0.009999999999999787,9.594999999999999,9.59,9.61,1111,
2025-11-07,CNH,955,0.009999999999999962,0.009999999999999787,9.605,9.6,9.62,729,
2025-11-07,KKR,838,0.16370967741935516,0.1700000000000017,120.33000000000001,120.23,120.26,62,
2025-11-07,KKR,869,0.11531249999999964,0.12000000000000455,120.715,120.64,120.73,96,
2025-11-07,XYZ,603,0.07709815078236139,0.07000000000000028,63.445,63.39,63.64,703,
