day,em,xm,symbol,net,wk,split
2025-03-19,588,955,FWRD,0.4447995424508313,2025-03-15/2025-03-21,TRAIN
2025-03-19,591,955,LX,0.08049605238164789,2025-03-15/2025-03-21,TRAIN
2025-03-20,571,636,LX,-1.3837580067593134,2025-03-15/2025-03-21,TRAIN
2025-03-20,571,653,SMCX,-1.2889951025169206,2025-03-15/2025-03-21,TRAIN
2025-03-20,576,955,PDD,0.5956737068977646,2025-03-15/2025-03-21,TRAIN
2025-03-20,577,955,WS,0.7113649643128146,2025-03-15/2025-03-21,TRAIN
2025-03-21,571,751,TSLL,2.0,2025-03-15/2025-03-21,TRAIN
2025-03-21,573,615,QMCO,2.0,2025-03-15/2025-03-21,TRAIN
2025-03-21,579,815,QBTS,-1.1642194315928402,2025-03-15/2025-03-21,TRAIN
2025-03-21,581,696,AIFF,-1.1718145145794017,2025-03-15/2025-03-21,TRAIN
2025-03-24,637,958,EPWK,-0.493168791174694,2025-03-22/2025-03-28,TRAIN
2025-03-24,792,955,SMCI,-0.23053875625770698,2025-03-22/2025-03-28,TRAIN
2025-03-24,792,955,SMCL,-0.17904851772076663,2025-03-22/2025-03-28,TRAIN
2025-03-24,792,955,SMCX,-0.17202302000640882,2025-03-22/2025-03-28,TRAIN
2025-03-25,571,572,SMCX,2.0,2025-03-22/2025-03-28,TRAIN
2025-03-25,573,955,RUM,-0.21038868878134595,2025-03-22/2025-03-28,TRAIN
2025-03-25,653,955,GRRR,-0.3778939004308326,2025-03-22/2025-03-28,TRAIN
2025-03-25,666,955,NAIL,-0.45581402292455775,2025-03-22/2025-03-28,TRAIN
2025-03-26,572,582,RGC,-1.1783795020651364,2025-03-22/2025-03-28,TRAIN
2025-03-26,579,639,TNXP,-1.2083104556796926,2025-03-22/2025-03-28,TRAIN
2025-03-26,585,955,ZYBT,-0.6630658591090101,2025-03-22/2025-03-28,TRAIN
2025-03-26,586,616,CRVO,-1.1517040179318137,2025-03-22/2025-03-28,TRAIN
2025-03-27,574,955,CORZ,0.460277697824521,2025-03-22/2025-03-28,TRAIN
2025-03-27,576,591,MLGO,2.0,2025-03-22/2025-03-28,TRAIN
2025-03-27,598,716,MSTX,-1.147261650418076,2025-03-22/2025-03-28,TRAIN
2025-03-27,598,955,ROBN,-0.6433824122083213,2025-03-22/2025-03-28,TRAIN
2025-03-28,579,955,INR,-0.1718553998833467,2025-03-22/2025-03-28,TRAIN
2025-03-28,634,955,GDXD,0.10559836674546375,2025-03-22/2025-03-28,TRAIN
2025-03-28,658,955,ZGN,-0.3143009758011742,2025-03-22/2025-03-28,TRAIN
2025-03-28,837,955,QUBT,0.5454952902151875,2025-03-22/2025-03-28,TRAIN
2025-03-31,571,576,BIYA,-1.1858151620986084,2025-03-29/2025-04-04,TRAIN
2025-03-31,571,740,TNXP,-1.0975761644823572,2025-03-29/2025-04-04,TRAIN
2025-03-31,577,955,AEVA,0.25580924910633474,2025-03-29/2025-04-04,TRAIN
2025-03-31,593,770,CRVO,-1.182428874990745,2025-03-29/2025-04-04,TRAIN
2025-04-01,571,577,ANGI,-1.3013827989928646,2025-03-29/2025-04-04,TRAIN
2025-04-01,571,590,SPIR,-1.1704993503193741,2025-03-29/2025-04-04,TRAIN
2025-04-01,574,589,PCVX,-1.1731377386667126,2025-03-29/2025-04-04,TRAIN
2025-04-01,575,955,CYD,0.6922302956065085,2025-03-29/2025-04-04,TRAIN
2025-04-02,571,580,RDFN,2.0,2025-03-29/2025-04-04,TRAIN
2025-04-02,574,771,CONL,2.0,2025-03-29/2025-04-04,TRAIN
2025-04-02,575,955,ALAB,0.5058827640228111,2025-03-29/2025-04-04,TRAIN
