book,cell,label,split,n,n_weeks,tr_per_wk,green_pct,flat_pct,red_pct,green_wks,flat_wks,red_streak,worst_wk,best_wk,mo_green_pct,worst_mo,mdd,pnl,wr,top1_share,top5_share,top10_share,wk_traded_pct
HOD,E1a,E1 target +0.50R (whole),VAL,1217,23,52.91304347826087,21.73913043478261,4.3478260869565215,73.91304347826087,5,1,7,-16.030242713063384,10.661976308784414,0.0,-32.68302880488604,-113.00323930475044,-111.43728667547485,62.11996713229252,-0.05384194266568216,-0.2736965418838831,-0.5473930837677647,95.65217391304348
HOD,E1b,E1 target +0.75R (whole),TRAIN,2743,53,51.75471698113208,30.18867924528302,1.8867924528301887,67.9245283018868,16,1,7,-20.5138197762742,9.825668123057252,8.333333333333332,-39.39994171229433,-238.56746902753898,-220.60698058253124,54.101348888078746,-0.09179219962364012,-0.46576042031254294,-0.9315208406250843,98.11320754716981
HOD,E1b,E1 target +0.75R (whole),VAL,1202,23,52.26086956521739,17.391304347826086,4.3478260869565215,78.26086956521739,4,1,7,-14.982185105591599,11.642598379714718,20.0,-35.34327176160925,-106.34180779259574,-101.20350561000808,53.660565723793674,-0.08892972576149653,-0.44464862880748135,-0.8892972576149608,95.65217391304348
HOD,E1c,E1 target +1.00R (whole),TRAIN,2664,53,50.264150943396224,37.735849056603776,1.8867924528301887,60.37735849056604,20,1,7,-18.624460442475858,11.360810095365933,16.666666666666664,-29.110378528133282,-197.67148866999617,-191.3314236376104,48.048048048048045,-0.14119435626722815,-0.6952068545004946,-1.390335743793178,98.11320754716981
HOD,E1c,E1 target +1.00R (whole),VAL,1180,23,51.30434782608695,43.47826086956522,4.3478260869565215,52.17391304347826,10,1,4,-14.669949049037804,13.04770539543958,20.0,-28.722942115679455,-63.90197021482422,-44.99814749603902,50.0,-0.2666776449198568,-1.3111650875226262,-2.622330175045251,95.65217391304348
HOD,E1d,E1 target +1.50R (whole),TRAIN,2503,53,47.22641509433962,43.39622641509434,1.8867924528301887,54.716981132075475,23,1,5,-20.277087048994087,11.997548339708361,25.0,-44.06142808477579,-151.22651179330367,-134.7595074862565,40.47143427886536,-0.2805924472813655,-1.3936864530256228,-2.7850539602059423,98.11320754716981
HOD,E1d,E1 target +1.50R (whole),VAL,1095,23,47.608695652173914,34.78260869565217,4.3478260869565215,60.869565217391305,8,1,7,-21.393064301337024,19.971865231052217,20.0,-29.011007984859802,-68.34823720000142,-40.172438250873896,42.00913242009132,-0.41072936367364143,-2.053646818368203,-4.107293636736403,95.65217391304348
HOD,E2a,E2 50% @ +0.50R + BE,TRAIN,2643,53,49.867924528301884,41.509433962264154,1.8867924528301887,56.60377358490566,22,1,5,-16.73079654342306,9.833494634123214,16.666666666666664,-43.2267044294129,-162.8288719191862,-135.68520569281372,62.542565266742336,-0.26163500890709307,-1.2381600421518766,-2.4542100835510388,98.11320754716981
HOD,E2a,E2 50% @ +0.50R + BE,VAL,1184,23,51.47826086956522,17.391304347826086,4.3478260869565215,78.26086956521739,4,1,8,-16.583534499710357,13.791626315401105,20.0,-34.70590376261321,-109.61468876620614,-107.65323629298365,60.13513513513513,-0.13933626629836562,-0.6850699759669634,-1.3701399519339257,95.65217391304348
HOD,E2b,E2 50% @ +1.00R + BE,TRAIN,2469,53,46.58490566037736,33.9622641509434,1.8867924528301887,64.15094339622641,18,1,7,-17.313554446431816,16.974555514174565,41.66666666666667,-30.207415815640196,-154.9622991616466,-98.06429143617845,48.319157553665455,-0.43859518776802986,-1.937611780323227,-3.8343266525359248,98.11320754716981
